Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 - -3.802498"
6,1.4197582,"(x0 + sqrt(x0)) + 2.008991"
7,1.277816,"(x0 + sqrt(sqrt(x0))) - -2.5412188"
9,1.1979588,"sqrt(sqrt(x0 + x0)) + (x0 + 2.3027298)"
10,1.1218511,"sqrt(sqrt(x0) + sqrt(x0)) + (x0 + 2.018781)"
11,0.9488148,"sqrt(x0) + (sqrt(x0) + (sqrt(x0) + sqrt(x0)))"
12,0.8366991,"((sqrt(x0 + x0) + sqrt(x0)) + sqrt(x0)) + 1.9516522"
13,0.10444586,"(sqrt(x0) + (sqrt(x0) + sqrt(x0 + x0))) + sqrt(x0)"
15,0.079441935,"sqrt(x0) + ((sqrt(x0 + x0) + (sqrt(x0) + sqrt(x0))) + 0.15812916)"
16,0.03420458,"sqrt(x0 + x0) + ((sqrt(x0 + x0) + sqrt(x0)) + sqrt(sqrt(x0)))"
18,0.03143086,"sqrt(x0 + x0) + ((sqrt(x0 + x0) + (sqrt(x0) + sqrt(sqrt(x0)))) + -0.052663535)"
21,0.029133828,"sqrt(x0 + x0) + (sqrt(x0) + (sqrt(sqrt(x0)) + (sqrt((x0 + x0) + sqrt(x0)) - 0.36917624)))"
23,0.028660515,"(sqrt(sqrt(x0 + x2) + (x0 + x0)) - 0.37091568) + (sqrt(sqrt(x0)) + (sqrt(x0 + x0) + sqrt(x0)))"
24,0.01825044,"(((sqrt(x0) + sqrt(sqrt(x0))) + ((sqrt(sqrt(x0)) + sqrt(sqrt(x0 + 0.09827149))) + sqrt(x0))) + sqrt(x0)) + -1.12723"
26,0.015299648,"sqrt(x0) + (sqrt(sqrt(x0 + 0.03684929)) + (sqrt(x0) + (sqrt(sqrt(x0)) + (sqrt(sqrt(x0 + 0.036959764)) + (sqrt(x0) + -1.128601)))))"
28,0.014857422,"sqrt(x0) + (sqrt(sqrt(x0 + x2)) + (sqrt(x0) + ((sqrt(sqrt(x0 + 0.032967955)) + sqrt(sqrt(x0 + 0.0329821))) + (sqrt(x0) + -1.1276499))))"
30,0.011796727,"sqrt(x0) + (sqrt(sqrt(x0 + (x0 - -0.17702256))) + ((sqrt(x0) + ((sqrt(sqrt(x0)) + (sqrt(sqrt(x0 + 0.08871881)) + sqrt(x0))) + -1.4039071)) - x2))"
