Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.12707 - x0"
4,51.55449,"exp(23.838703 / x0)"
5,48.07756,"19.652796 / (x0 - 11.146651)"
6,46.76424,"exp(exp(sin(x0 * -0.38335153)))"
7,46.232433,"exp(exp(sin(sqrt(x0 * 15.508907))))"
8,46.183258,"exp(exp(sin((x0 * -0.5125329) + 1.8989973)))"
9,45.969357,"exp(exp(sin(sin(x0 * 0.4076534) * -2.0510983)))"
10,45.504387,"exp(exp(sin(exp(sin(x0 * 0.59195167)) * -1.8838183)))"
12,45.350388,"exp(exp(sin(exp(sin(x0 * 0.59137356)) * -1.8767327))) + 0.40229535"
13,45.31735,"exp(exp(sin(sin(exp(sin(x0 * 0.5905383) * 1.7329603)) * -1.9636471)))"
14,45.187645,"exp(exp(sin(exp(sin(-1.8977513 * exp(sin(x0 * 0.5928665)))) + -1.1257794)))"
15,45.019966,"exp(sin(exp(sin(exp(sin(x0 * 0.59356314)) * -1.9182633)) * -1.872992) + 1.6328753)"
16,44.961315,"exp(exp(sin(exp(sin(exp(sin(x0 * 0.5926969)) * -1.9468381)) * -1.8744766))) - -0.5676712"
17,44.90704,"exp(exp(sin(sin(exp(sin(exp(sin(x0 * 0.59432167)) * -1.8996983)) * -1.961254) + 0.46537602)))"
18,44.84971,"exp(sin(sin(exp(sin(exp(sin(x0 * 0.594894)) * -1.9237636)) * -1.8450809) * 2.000475) + 1.7217574)"
20,44.82728,"exp(exp(sin(sin(sin(exp(sin(exp(sin(x0 * 0.5949535)) * -1.9490999)) * -1.8885382) * 1.826426))) + 0.34180823)"
21,44.77573,"exp(sin(sin(sin(exp(sin(exp(sin(x0 * 0.5951873)) * -1.918173)) * -1.895172) * 2.1822844) * 2.0669293) + 1.6709981)"
24,44.741703,"exp(sin(sin(sin(sin(exp(sin(exp(sin(x0 * 0.595162)) * -1.8539349)) * -2.10972) * 2.256867) * 1.9192008) * 2.0022554) + 1.7090192)"
25,44.74047,"exp(sin(sin(sin(sin(sin(exp(sin(exp(sin(x0 * 0.595162)) * -1.8539349)) * -2.10972)) * 2.256867) * 1.9192008) * 2.0022554) + 1.7090192)"
27,44.716053,"exp(sin(sin(sin(sin(sin(exp(sin(exp(sin(x0 * 0.595162)) * -1.8539349)) * -2.10972) * 2.256867) * 2.0022554) * 1.9192008) * 2.0022554) + 1.7090192)"
28,44.71556,"exp(sin(sin(sin(sin(sin(sin(exp(sin(exp(sin(x0 * 0.595162)) * -1.8539349)) * -2.10972)) * 2.256867) * 2.0022554) * 1.9192008) * 2.0022554) + 1.7090192)"
30,44.709,"exp(sin(sin(sin(sin(sin(sin(exp(sin(exp(sin(x0 * 0.595162)) * -1.8539349)) * -2.10972) * 2.256867) * 1.9192008) * 2.0022554) * 1.9192008) * 2.0022554) + 1.7090192)"
