Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.8024988"
4,0.10021928,"sqrt(x0 * 19.763647)"
6,0.05834884,"sqrt(x0 * 18.257776) + 0.411557"
8,6.124278e-5,"sqrt(((x0 * -0.432618) + 23.051708) * x0)"
10,5.4231026e-5,"sqrt(((x0 * -0.4359894) + 23.10364) * x0) + -0.00700655"
12,4.985753e-5,"sqrt((x0 * ((x0 * -0.43695614) + 23.118282)) + x2) + -0.008982063"
14,4.8617778e-5,"sqrt(x2 + ((((x0 * -0.43732816) + 23.124733) * x0) + x2)) + -0.010027408"
15,4.861754e-5,"sqrt(sin(x2) + ((x0 * ((x0 * -0.43732843) + 23.124733)) + x2)) + -0.010027346"
16,1.0920714e-6,"sqrt(x0 * (((x0 + 3.1166599) * -0.48734877) + x1)) - ((x0 + 0.35850483) * -0.040083427)"
18,5.6571633e-7,"sqrt((((x0 + 3.3842766) * -0.4864806) + (x1 + 0.15969881)) * x0) - ((x0 * -0.038623374) - 0.013130939)"
20,5.5951494e-7,"(sqrt(((((x0 + 3.382857) * -0.4865363) + x1) + 0.16249901) * x0) - (x0 * (x2 + -0.039537743))) + 0.0128977215"
22,5.5948476e-7,"(sqrt(((((x0 + 3.38318) * -0.48655304) + x1) + 0.16183409) * x0) - ((x0 + 0.24189946) * (-0.03756849 - x2))) + 0.0036518483"
24,5.589723e-7,"(sqrt(((((x0 + 3.3831534) * -0.4865974) + x1) + 0.16188812) * x0) - ((x0 + 0.2419364) * (-0.037592437 - x2))) + (0.0046072653 - x2)"
27,5.5102754e-7,"((sqrt(x0 * (((0.16271402 - sqrt(x2 * x0)) + x1) + ((x0 + 3.3831592) * -0.48401257))) - ((x0 + 0.35657564) * -0.0410569)) - x2) - x2"
28,5.503693e-7,"((sqrt(x0 * ((((x0 + 3.3831577) * -0.48404777) + x1) + sin(0.16271722 - sqrt(x2 * x0)))) - ((x0 + 0.35657597) * -0.041073978)) - x2) - x2"
30,5.5008616e-7,"((sqrt(x0 * (((x0 + 3.3831577) * -0.48404777) + (x1 + sin(0.16271722 - sqrt(x2 * x0))))) - ((x0 + 0.35657597) * -0.041073978)) - (x2 + -1.4107098e-5)) - x2"
