Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127071 - x0"
5,49.398914,"sqrt(exp(18.092058 - x0))"
6,46.223217,"exp(exp(cos(x0 * 0.4913041)))"
8,46.18152,"exp(exp(cos(x0 * 0.4915756))) + 0.20455153"
10,46.16736,"exp(exp(sin((x0 - 3.672666) * 0.51172465) * -1.0150644))"
11,45.8214,"exp(exp(sin(sin(x0 * 0.41390604) * -2.2418494))) * 1.1487024"
13,45.419556,"exp(exp(sin((x1 - sin(x0 - 8.621215)) - (x0 * 0.3263924))))"
15,45.342426,"exp(exp(sin((x1 - sin(x0 - 8.620488)) - (x0 * 0.3264555)))) + 0.18568486"
17,45.328186,"(exp(exp(sin((x1 - sin(x0 - 8.610164)) - (x0 * 0.3269635)))) + 0.24554822) - -0.05945481"
19,45.316326,"exp(exp(sin(((x1 - (sin(x0 - 21.264994) - (x0 * 0.7545085))) - x0) * 1.2418691))) - -0.22443563"
20,45.184643,"exp(exp(sin(sin((x1 - (sin(-62.91797 - x0) * 0.59466505)) - (x2 + (x0 * 0.3683607))) * 2.9316096)))"
21,45.17557,"exp(exp(sin(sin((x1 - (sin(-63.014706 - x0) * 0.6018523)) - (x0 * 0.36525437)) * log(x0))) - 0.021102618)"
22,45.174343,"exp(exp(sin(sin((x1 - (sin(-62.91797 - x0) * 0.59466505)) - (x0 * (x2 + 0.3683607))) * 2.9316096))) - -0.09455591"
23,45.17432,"exp(exp(sin(sin((x1 - (sin(-63.014706 - x0) * 0.6018523)) - ((x0 + x2) * 0.36525437)) * log(x0)) - 0.021102618))"
24,45.144676,"exp(exp(sin(sin(x2 + (((x1 - (sin(x0 - 8.19789) - (x0 * 0.56952596))) - x0) * 0.73327404)) * 1.8918967))) + 0.48469993"
25,45.077953,"exp(sin(sin(((x1 - (sin((x0 * 1.5865076) + 1.897297) - (x0 * 0.4826543))) - (x0 + x2)) * 0.76537484) * 2.3112147) + 1.7118217)"
26,45.02174,"exp(exp(sin(sin((((-1.0566039 - (sin((x0 - 5.2364283) * 1.3148186) - (x0 * 0.5700728))) - x0) + x2) * 0.8386357) * 1.9616432))) + 0.5086952"
28,45.01386,"((exp(exp(sin(sin(((x1 - (sin(1.2981586 * (x0 - -4.524524)) - (x0 * 0.5090048))) - x0) * 0.7552735) * 1.9100517))) + 0.6434896) * 0.9393116) + x2"
30,45.00893,"(exp(exp(sin(sin(x2 + (((x1 - (sin((x0 - 5.5314784) * 1.3544096) - (x0 * 0.4971708))) - (x0 - 8.270308)) * 0.7628439)) * 1.8990026))) + 0.7271888) * 0.93006843"
