Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405168,"x0 + 3.8025"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.058348846,"sqrt(x0 * 18.257793) - -0.4115532"
8,6.124282e-5,"sqrt(x0 * ((x0 * -0.43262747) + 23.051802))"
10,5.4254186e-5,"sqrt(((x0 * -0.4362515) + 23.10704) * x0) - 0.007347573"
12,2.9635452e-5,"(x0 / 19.354269) - (((x0 * 0.058988888) + -4.7530746) * sqrt(x0))"
13,1.2991272e-5,"sqrt(x0) * (sin(x0 * 0.05868194) + (4.7908244 - (x0 * 0.101589896)))"
14,7.549247e-6,"(x0 / 13.606314) + (0.018476874 - (((x0 * 0.06259087) + -4.714331) * sqrt(x0)))"
15,2.7417454e-6,"(sqrt(x0) * (4.7271757 - (x0 * 0.05797835))) + sin((x0 / 17.018196) - -0.016315738)"
17,2.5754284e-6,"((sqrt(x0) * (4.7269163 - (x0 * 0.055520564))) + sin((x0 / 17.019028) - -0.31841543)) + -0.296031"
19,5.4249807e-7,"(((x2 - ((x0 * 0.050735567) + -4.747519)) * sqrt(x0)) + (sin(x0 / 7.6534457) * 0.26942435)) + 0.012184735"
21,5.216169e-7,"(((x2 + x2) - (((x0 * 0.050664943) + -4.748935) * sqrt(x0))) + (sin(x0 / 7.6233025) * 0.26531947)) - -0.010224773"
23,5.18318e-7,"((((x2 + x2) - (((x0 * 0.05097802) + -4.7480593) * sqrt(x0))) + (sin(x0 / 7.8682404) * 0.2815288)) - -0.009408684) + x2"
27,5.1830807e-7,"(((x2 + x2) - (((x0 * 0.05097802) + -4.7480593) * sqrt(x0))) + (((sin(x0 / 7.8682404) * 0.2815288) - -0.009408684) + (x2 - x2))) + x2"
29,5.165774e-7,"((((x2 + (x2 - ((x0 * 0.051062226) + -4.747167))) * sqrt(x0)) + (sin((x0 + -0.39484134) / 7.6230764) * 0.26745725)) - (x2 + -0.024969898)) + (x2 + x2)"
30,5.1655655e-7,"((((x2 + sin(x2)) - ((x0 * 0.051062535) + -4.7471642)) * sqrt(x0)) + ((sin((x0 + -0.3948411) / 7.6230764) * 0.26747373) - (x2 + -0.024969438))) + (x2 + x2)"
