Complexity,Loss,Equation
1,54.316387,"3.0360746"
3,52.234707,"22.12707 - x0"
6,51.292213,"sin(x0) + (21.946625 - x0)"
8,51.206593,"(24.345798 - x0) - sqrt(x1 - x0)"
9,50.629707,"(21.961905 - x0) - cos(x0 - sqrt(x0))"
11,50.013435,"(21.851126 - x0) - sin(x0 - sqrt(x0 + -8.342016))"
13,49.71202,"21.793356 - (x0 - sin((11.788479 - x0) - sqrt(x1 - x0)))"
14,49.659134,"(21.83216 - x0) - sin((x0 - (sqrt(x0) + 0.9924436)) - sqrt(x0))"
15,49.47653,"(21.77112 - x0) - sin((1.7898414 - x0) - sqrt((x1 - x0) + -1.865069))"
16,49.41823,"(21.613384 - x0) + (sin(x0) - sin((8.641498 - x0) - sqrt(x1 - x0)))"
17,49.14359,"(21.584429 - x0) - (cos(x0 - sqrt(x0)) - sin(sqrt(x0 - 8.85144) - x0))"
18,49.128544,"(21.554148 - x0) + (sin(x0) - sin((8.078731 - x0) - sqrt((x1 + -1.8665068) - x0)))"
19,48.887783,"(21.584356 - x0) - (sin(2.1037855 - (x0 - sqrt(x0))) - sin(sqrt(x0 - 8.851703) - x0))"
21,48.381084,"(21.52874 - x0) - (sin((2.3635597 - x0) - sqrt(x1 - x0)) - sin(sqrt(x0 - 8.827329) - x0))"
22,48.32935,"(21.5728 - x0) - (sin((x0 - (sqrt(x0) + 1.0371065)) - sqrt(x0)) - sin(sqrt(x0 - 9.063961) - x0))"
23,48.150772,"((21.46343 - x0) - sin((8.595841 - x0) - sqrt(x1 - x0))) - sin((8.595841 - x0) - sqrt(x1 - x0))"
25,47.95281,"((21.46003 - x0) - sin((8.607794 - x0) - sqrt(x1 - x0))) - sin((-4.5538397 - x0) - sqrt((x1 + -1.866639) - x0))"
27,47.796295,"((21.46003 - x0) - sin((-4.5538397 - x0) - sqrt((x1 + -1.866639) - x0))) - sin((-4.5538397 - x0) - sqrt((x1 + -1.866639) - x0))"
29,47.78419,"(((21.270382 - x0) - sin((1.7777519 - x0) - sqrt(x1 + (-1.8651776 - x0)))) - sin((1.7777519 - x0) - sqrt(x1 + (-1.8651776 - x0)))) - -0.12299887"
