Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 - -3.802498"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"(sqrt(x0) - -0.09633954) * 4.272862"
8,6.1242936e-5,"sqrt(((x0 * -0.43263483) + 23.05187) * x0)"
10,5.423371e-5,"sqrt(x0 * ((x0 * -0.4360862) + 23.104902)) - 0.007132979"
11,1.713023e-5,"sqrt(sqrt((x0 * -0.79250276) + x1) * x0) * 2.1615849"
12,7.3753035e-6,"sqrt(x0) * ((x0 * ((x0 * -0.000628564) + -0.039676305)) + 4.7871437)"
14,6.286737e-6,"x2 + (sqrt(x0) * ((((x0 * -0.0006387606) + -0.039487034) * x0) + 4.785979))"
15,2.6843832e-6,"(x2 + sqrt(x0)) * ((x0 * ((sqrt(x0) * -0.004368571) + -0.031248469)) + 4.7765045)"
16,1.2160026e-6,"(sqrt(x0) * ((x0 * -0.029952655) + 4.7713046)) + (((x0 * -0.00465633) * x0) - -0.008806191)"
18,8.896282e-7,"((sqrt((((x0 * -0.8664842) / x1) + 1.653831) * x0) * 3.6859336) + 0.01451434) + (x0 / x1)"
20,5.625478e-7,"((x0 / (x1 + 1.7875761)) - -0.013169006) + (sqrt(x0 * ((x0 * (-1.3765379 / x1)) + 2.652782)) * 2.9130716)"
22,5.5941086e-7,"((x0 / (x1 + 1.7875719)) - -0.013089589) + (sqrt((((x0 * -1.3761026) / x1) + (2.652615 - x2)) * x0) * 2.9137747)"
24,5.5921595e-7,"((x0 / (x1 + 1.7875772)) - -0.014011151) + ((sqrt(((((x0 * -1.3766344) / x1) + 2.6534846) - x2) * x0) * 2.91333) - x2)"
26,5.589108e-7,"(((x0 / (x1 + 1.8659812)) - 0.1417852) + ((sqrt(((x0 * (-1.0470448 / x1)) + (2.0193305 - x2)) * x0) * 3.339893) + x2)) + 0.15379532"
30,5.588899e-7,"(((x0 / (x1 + 1.8659812)) - 0.14178567) + (((sqrt((((x0 * -1.0470464) / x1) + (2.0193355 - x2)) * x0) * 3.3398893) - (x2 - x2)) + x2)) + 0.15379466"
