Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.8024979"
6,1.3254443,"(x0 - cos(x0)) + 3.9551852"
7,1.2057608,"x0 - (cos(sqrt(x0)) + -3.6732957)"
8,0.13101603,"exp(sqrt(sqrt(x0)) + 1.0644684) - 3.1357093"
10,0.1310159,"(x2 + exp(sqrt(sqrt(x0)) + 1.0644329)) - 3.1363966"
11,0.05572281,"exp(sin(sqrt(sqrt(x0))) + sqrt(sqrt(x0))) - 1.7572504"
12,0.032038298,"(exp(sqrt(sqrt(x0)) + 1.0983026) + sin(sqrt(x0))) - 4.0547743"
13,0.0010860746,"exp((sin(sqrt(sqrt(x0))) + sqrt(sqrt(x0))) + -0.05181169) - 1.2608086"
15,0.0003053833,"exp(sin(sqrt(sqrt(x0) + 0.20251833)) + sqrt(sqrt(x2 + x0))) + -1.8789716"
17,0.0002826228,"exp((sqrt(sqrt(x2 + x0)) + sin(sqrt(sqrt(x0) + 0.19848278))) - x2) + -1.8673095"
18,0.00028261845,"exp((sin(sqrt(sqrt(x0) + 0.19849221)) - x2) + sqrt(sqrt(sin(x2) + x0))) + -1.8673168"
19,0.00010969792,"(exp((sin(sqrt(sqrt(x0) + 0.13241157)) + sqrt(sqrt(x2 + x0))) + -0.017424712) - 1.2803637) + -0.39413407"
21,9.808229e-5,"(exp((sin(sqrt(sqrt(x2 + x0) + 0.14252196)) + sqrt(sqrt(x0 + x2))) + -0.014427554) - 1.7114077) + x2"
23,9.791734e-5,"((0.0009555161 - x2) + exp((sqrt(sqrt(x0 + x2)) + sin(sqrt(sqrt(x0 + x2) + 0.14417137))) + -0.014036118)) - 1.7150952"
