Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.100219294,"sqrt(x0 * 19.764011)"
6,0.058348846,"sqrt(x0 * 18.257786) + 0.41155413"
8,6.124303e-5,"sqrt(((x0 * -0.43263566) + 23.051872) * x0)"
10,5.4230473e-5,"sqrt(((x0 * -0.4359317) + 23.102825) * x0) + -0.0069126044"
11,1.7130747e-5,"sqrt(x0 * sqrt((x1 - (x0 + -6.2823386)) * 17.30299))"
13,1.0228809e-5,"sqrt(sqrt((x1 - (x0 + -6.351737)) * 17.214981) * x0) - -0.005323336"
14,5.0117346e-6,"((sqrt(x0) + (x0 * 0.01321002)) * ((x0 * -0.057434727) + 4.7223806)) + 0.017276939"
16,9.935723e-7,"(((x0 * (x0 * -0.001196161)) + sqrt(x0)) * ((x0 * -0.027430952) + 4.768365)) + 0.009747855"
18,6.84683e-7,"(((x0 * -0.036117416) + 4.759588) * sqrt(x0)) + ((x0 * ((x0 * -0.0038003088) + 0.014389359)) + 0.010927686)"
20,6.745432e-7,"((((x0 * -0.036923677) + 4.7579155) * sqrt(x0)) + (x0 * (((x0 * x2) * -3.6904202) + 0.01632797))) + 0.011288895"
22,6.239231e-7,"((((x0 * -0.053667102) + 4.741156) * sqrt(x0)) + (x0 * ((x0 * (x2 * (x0 * -0.06410642))) + 0.043879203))) + 0.013642931"
24,5.8169405e-7,"(((x0 * -0.05330948) + 4.742985) * sqrt(x0)) + (((x0 * (((x0 * (x2 * x0)) * -0.06623516) + 0.042439826)) + 0.012044978) + x2)"
