Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.12707 - x0"
4,51.55449,"exp(23.838732 / x0)"
5,48.077637,"19.717 / (x0 + -11.140358)"
6,46.223217,"exp(exp(cos(x0 / 2.0353987)))"
8,46.18152,"exp(exp(cos(x0 / 2.0342119))) + 0.20404024"
10,46.180794,"exp(exp(cos(x0 / 2.0339952) + x2)) - -0.20109737"
11,45.626003,"exp(exp(cos((14.711625 - (-127.599014 / x0)) + sin(x0))))"
13,45.277782,"exp(exp(cos(cos((242.53279 / x0) + 26.578053) + (160.40607 / x0))))"
15,45.209503,"exp(exp(cos(cos((242.53279 / x0) + 26.578053) + (160.40607 / x0)))) - -0.22176814"
17,45.155304,"exp(exp(cos((-131.55595 / x0) + (sin(x1 * (-11.681266 / x0)) - -16.574245)))) + 0.5402006"
18,44.767178,"(exp(-0.5933279 / (x2 / exp(x1 * (cos(-116.36464 / x0) * 2.6603656)))) * 12.08026) + 2.143396"
20,44.759457,"(exp((-0.05648641 / x2) / exp((x1 * (x1 / -8.99324)) * cos(115.88036 / x0))) * 11.951674) + 2.1572971"
25,44.75462,"(exp((-0.45951477 / x2) / exp((x1 * cos((-115.62421 - (cos(x0) + 1.2410645)) / x0)) * (x1 / -9.138409))) * 11.887919) + 2.1529977"
26,44.470203,"2.16412 + (exp((-0.008921956 / x2) / exp(((x1 * x1) / -9.185887) * cos((cos(exp(x0 + 2.749212)) - -115.701836) / x0))) * 11.977314)"
28,44.470043,"(exp((-0.008921956 / x2) / exp(((x1 * x1) / -9.185887) * cos((cos(exp(x0 + 2.749212)) - -115.701836) / (x2 - x0)))) * 11.986236) + 2.16412"
30,44.469254,"x2 + (2.16412 + (exp((-0.008921956 / x2) / exp(((x1 * x1) / -9.185887) * cos((cos(exp(x0 + 2.749212)) - -115.701836) / (x2 - x0)))) * 11.845932))"
