Complexity,Loss,Equation
1,54.316387,"3.036349"
3,52.234707,"22.12707 - x0"
5,51.282616,"15.27268 - (x0 * 0.64094913)"
6,51.021484,"27.65759 - (sqrt(x0) * 5.650314)"
7,49.162186,"(sin(sqrt(x0)) * 15.1149845) + 16.517385"
9,47.6959,"x0 - ((sin(sqrt(x0)) * -32.25188) + -12.711004)"
10,47.349384,"(x0 * 18.742304) - ((sqrt(x0) * 164.10313) - 360.30713)"
12,47.349373,"((x0 * 18.741898) - ((sqrt(x0) * 164.09802) - 360.3096)) + -0.017646914"
13,46.498722,"(x0 * 21.759485) - ((sqrt(x0) * 188.79199) - (410.53754 + cos(x0)))"
14,46.302193,"(cos(sqrt(x0 * 20.685328)) * -3.8815901) + ((22.323582 + cos(x0)) - x0)"
16,46.30219,"(cos(sqrt(x0 * 20.685326)) * -3.881588) + (((cos(x0) + 20.6742) - x0) + 1.6493821)"
17,46.274017,"((cos(x0 * 0.5482749) * 3.5351381) + ((x1 + (cos(x0) - x0)) + -2.188726)) * 1.1601408"
18,46.20548,"(cos(sqrt(x0 * 14.626635)) * 5.0278344) + ((((x1 + cos(x0)) - x0) + -1.6712242) * 1.2252051)"
20,46.17673,"(((x2 - x0) + -0.4558673) + x1) + ((cos(x0) + (cos(sqrt(x0 * 14.326388)) * 3.4228365)) * 1.478277)"
23,46.09739,"((x1 - (sqrt(x0) + ((x0 + 14.065355) + (cos(sqrt((x0 + -11.390839) * 7.308944)) * 4.146095)))) + cos(x0)) + 16.49183"
25,46.053032,"(x1 - (sqrt(x0) + ((cos(sqrt((x0 + -11.406175) * 7.3294597)) * 4.1514444) + (x0 + 14.094885)))) + (cos(x0 - -0.16545212) + 16.514427)"
30,46.002766,"(x1 - (sqrt(x0) + ((cos(sqrt((x0 + -11.596977) * 7.641099)) * 4.2228537) + (x0 + 14.169516)))) + (cos((-0.5098129 - x0) + sin(x2 * x2)) + 16.439522)"
