Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405168,"x0 - -3.8029776"
4,0.100219294,"sqrt(x0 * 19.764038)"
6,0.058348846,"sqrt(x0 * 18.257793) + 0.41155228"
8,6.124275e-5,"sqrt(((x0 * -0.43261546) + 23.051723) * x0)"
9,3.619376e-5,"(5.778802 - exp(x0 * 0.03715097)) * sqrt(x0)"
11,2.3546876e-5,"sqrt(x0) * ((5.3636093 - exp(x0 * 0.034599386)) * 1.0956678)"
12,1.2525767e-5,"(x0 * 0.02417582) + sqrt(x0 * ((x0 * -0.47074082) + 22.775784))"
13,7.772658e-6,"sqrt(x0) * ((4.08364 - exp(x0 * (0.6233261 / x1))) * 1.55276)"
14,6.8275244e-7,"((x0 * 0.04032338) + sqrt(((x0 * -0.4885013) + 22.485802) * x0)) + 0.014161259"
16,5.879907e-7,"((x0 * 0.037801318) + sqrt((((x0 + -0.31366435) * -0.4856258) + 22.37585) * x0)) + 0.012478567"
20,5.6014045e-7,"(x0 * 0.038678154) + ((sqrt(x0 * (((x0 + -0.30644074) * -0.48663265) + 22.364311)) - x2) + (0.015079464 - x2))"
22,5.6010464e-7,"((((x0 * 0.038683023) + (sqrt(x0 * (((x0 + -0.30643782) * -0.48663786) + 22.364244)) - x2)) + 0.65185875) - x2) - 0.6367843"
