Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127073 - x0"
4,51.55449,"exp(23.844957 / x0)"
5,50.156036,"-9.400394 - (-231.93864 / x0)"
6,46.223213,"exp(exp(cos(x0 / 2.0354004)))"
8,46.181522,"exp(exp(cos(x0 / 2.0342948))) - -0.20505568"
9,46.125816,"exp(exp(sin(sqrt(x0 * 15.540509)))) - -0.33163968"
10,45.863728,"exp(exp(sin(sin(sqrt(x0 * 15.897214)) * 1.8839369)))"
12,45.684498,"exp(exp(sin(sin(-3.228964 - sqrt(x0 * 15.895171)) * 1.8767284)))"
13,45.611744,"exp(exp(sin(exp(sin(-1.5169519 - sqrt(x0 * 19.105232))) - 1.1013875)))"
14,45.434593,"exp(exp(sin((sin(-1.3805758 - sqrt(x0 * 19.592342)) * 2.4501538) + -0.58663356)))"
16,45.379715,"exp(exp(sin((sin(-1.9279295 - sqrt(x0 * 18.421717)) * 2.39009) + -0.512499))) + 0.31076166"
17,45.300636,"exp(exp(sin(exp(sin(exp(sin(x1 - sqrt(x0 * 19.948217))) - 1.3500661)) - 0.8922336)))"
18,45.11156,"exp(exp(sin(exp(sin(cos(0.6862611 - x0) - sqrt((x0 - 6.4340377) * 4.44038))) - 0.8815967)))"
20,45.111183,"exp(exp(sin(exp(sin(cos(0.7075377 - x0) - sqrt((x0 - 6.3790174) * 4.4342713))) - 0.8920088))) - -0.03437034"
22,45.090195,"(exp(exp(sin(exp(sin(cos(7.0051203 - x0) - sqrt((x0 - 6.389056) * 4.3644257))) - 0.9674408))) - -0.33375096) / 1.0757723"
23,45.025223,"sqrt(exp(exp(sin(sin(cos(x0 - cos(x0 + (x0 - -2.8562162))) - sqrt((x0 - 5.8062453) * 4.2186484))) + 0.87074345)))"
24,44.97094,"sqrt(exp(exp(sin(sin(sin(cos(x0 - cos(x0 + (x0 - -2.9259422))) - sqrt((x0 - 5.674664) * 4.194397)))) + 0.95051855)))"
25,44.955643,"sqrt(exp(exp(sin(sin(sin(sin(cos(x0 - cos((x0 + x0) - -2.9796588))) - sqrt((x0 - 6.1203427) * 4.3478537)))) + 0.9476349)))"
26,44.95564,"sqrt(sqrt(exp(exp(sin(sin(sin(sin(cos(x0 - cos(x0 + (x0 - -2.979896)))) - sqrt((x0 - 6.1260676) * 4.3492203)))) + 1.6406642))))"
27,44.951176,"sqrt(exp(exp(sin(sin(sin(sin(cos(x0 - cos(x0 + (x0 - -2.9488642))) - sqrt((x0 - 5.6048446) * 4.192216))))) + 1.0589325) + -0.2541556))"
29,44.927555,"sqrt(exp(exp(sin(sin(sin(sin(cos(x0 - cos((x0 + x0) - -2.9210274)) - sqrt((x0 - 5.7262187) * 4.2100477))))) + 1.2002594) + -1.1139035) + 2.12445)"
