Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.100219294,"sqrt(x0 * 19.764011)"
6,0.05834884,"(sqrt(x0) - -0.09633954) * 4.272862"
8,6.1249455e-5,"sqrt(x0 * (23.050709 - (x0 * 0.43251497)))"
10,5.9388105e-5,"sqrt(x0 * (23.060055 - (x0 * 0.43320218))) - x2"
11,8.457101e-6,"(4.0665345 - sin((x0 * 0.05359421) - 0.79956377)) * sqrt(x0)"
12,7.3752967e-6,"(4.7871428 - (x0 * (0.039675836 - (x0 * -0.0006285941)))) * sqrt(x0)"
13,1.9856689e-6,"(4.020011 - sin((x0 * 0.054437567) - 0.854166)) * (sqrt(x0) + 0.0017201584)"
15,1.2160983e-6,"0.008800076 - (sqrt(x0) * ((x0 * (0.029942812 - (sqrt(x0) * -0.004658862))) - 4.771289))"
16,8.354709e-7,"0.010526637 - ((((0.013163432 - (sqrt(sqrt(x0)) * -0.017399283)) * x0) - 4.764854) * sqrt(x0))"
19,6.7134533e-7,"((-0.002340971 - (x0 * 0.003343497)) - sqrt(x0)) * (((0.036866784 - (sqrt(x0) * -0.003512796)) * x0) - 4.7585344)"
22,5.613174e-7,"(-0.13533558 - (x0 * -0.02810512)) - ((((x0 * (0.047313966 - (x0 * -0.00045412962))) - (4.7543807 - x2)) * sqrt(x0)) - 0.14677519)"
24,5.21401e-7,"((0.019628821 - x0) * -0.031350132) - (((((0.04838885 - (x0 * -0.0004225408)) * x0) - (4.752454 - (x2 + x2))) * sqrt(x0)) - 0.012730623)"
27,5.2119134e-7,"(-0.1771632 - (x0 * -0.03094143)) - (((x2 + (sqrt(x0) * (((x0 * (0.04826807 - (x0 * -0.00042555394))) - x2) - 4.7498717))) - sqrt(x2)) - 0.1585656)"
