Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405168,"x0 + 3.8026266"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.058348846,"sqrt(18.257824 * x0) - -0.41154078"
7,0.02830498,"sqrt(x0 * (22.423264 - sqrt(x0)))"
8,6.1242565e-5,"sqrt(((x0 * -0.43261635) + 23.051697) * x0)"
10,5.423803e-5,"sqrt(((x0 * -0.43614173) + 23.105545) * x0) + -0.0071805776"
12,4.98934e-5,"sqrt((x0 * ((x0 * -0.43712977) + 23.120611)) + x2) + -0.009226203"
13,2.3494968e-5,"(cos(x0 / x1) + ((x0 * -0.036625113) + 3.779357)) * sqrt(x0)"
14,1.2331263e-5,"sqrt((x0 * 22.758785) + ((x0 * x0) * -0.47288066)) - (x0 * -0.025608214)"
15,8.557588e-6,"((((x0 * -0.03610805) + 3.7711153) + cos(x0 / x1)) * sqrt(x0)) - -0.010339057"
16,1.2100301e-6,"sqrt((x0 * 22.580437) + ((x0 * x0) * -0.48169732)) - ((x0 + 0.30494544) * -0.034549173)"
18,5.602251e-7,"(sqrt(((x0 * -0.48693603) * (x0 + 0.98429894)) + (x0 * 22.990398)) - (x0 * -0.03887675)) + 0.013097914"
20,5.5946634e-7,"(sqrt((x0 * 23.00031) + ((x0 * -0.48661914) * (x0 + 0.9992446))) - ((x0 * -0.038652275) + 0.18194447)) + 0.19498748"
21,5.3084847e-7,"sqrt((x0 * ((x0 + exp(x0 * -0.036258355)) * -0.49828136)) + (x0 * 23.02001)) - ((x0 * -0.03705977) + -0.013058579)"
23,5.115022e-7,"((sqrt((x0 * 23.035625) + (x0 * ((exp(x0 * -0.048081595) + x0) * -0.49894744))) - (x0 * -0.035318807)) - -0.013791368) - x2"
25,5.110884e-7,"(((sqrt(((x0 * (x0 + exp(x0 * -0.048135165))) * -0.4991145) + (x0 * 23.035715)) - (x0 * -0.03537598)) - -0.014760266) - x2) - x2"
