Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127071 - x0"
6,51.759445,"(sqrt(x0) - x0) + 17.770031"
8,51.36989,"(23.745104 - sqrt(23.745104 - x0)) - x0"
10,50.639095,"(24.230572 - sqrt((44.316235 - x0) - x0)) - x0"
12,50.638973,"(24.230572 - sqrt((44.316235 - x0) - x0)) - (x0 - x2)"
14,50.63825,"(((20.537378 - sqrt((44.316235 - x0) - x0)) - x0) + 27.700705) - x1"
15,50.614853,"((sqrt(443.84515 - x0) + 3.6690187) - sqrt((44.316235 - x0) - x0)) - x0"
17,50.614674,"(((sqrt(443.089 - x0) - sqrt((44.316235 - x0) - x0)) + 27.700705) - x0) - x1"
19,50.614445,"((sqrt(443.089 - x0) - sqrt((44.316235 - x0) - (x0 + x2))) - x0) + (27.700705 - x1)"
20,50.60084,"((sqrt(((399.52893 - x0) - x0) - sqrt(x0)) - sqrt((44.316235 - x0) - x0)) - x0) + 5.387372"
22,50.600723,"((sqrt(((399.52893 - x0) - x0) - sqrt(x0 + -0.6603188)) - sqrt((44.316235 - x0) - x0)) - x0) + 5.387372"
25,50.556557,"((18.979164 - sqrt((44.271454 - x0) - x0)) + (9.823817 - x0)) - (sqrt(x0 + ((x0 - x0) - (x0 - x0))) + 0.13077684)"
