Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
6,1.3254442,"(x0 - cos(x0)) + 3.9553864"
7,1.2057607,"(x0 + 3.6732438) - cos(sqrt(x0))"
9,0.62703294,"(x0 + 3.6040814) - cos(sqrt(x0 + x0))"
11,0.5733504,"(x0 + 3.1401026) - (cos(sqrt(x0)) - sin(sqrt(x0)))"
12,0.5528349,"((x0 - cos(x0)) + 3.756762) - cos(sqrt(x0 + x0))"
13,0.36414257,"(x0 - (cos(sqrt(x0 + x0)) - sin(sqrt(x0)))) + 3.0708892"
14,0.3338627,"((x0 - cos(sqrt(x0))) + 3.7978847) - cos(sqrt(x0) + sqrt(x0))"
15,0.17133717,"((x0 + 3.0789711) + cos(sqrt(x0) - 2.1030147)) - cos(sqrt(x0 + x0))"
17,0.102840066,"((x0 - cos(sqrt(x0 + x0))) + 3.3676984) - cos(sqrt(sqrt(x0)) + sqrt(x0))"
18,0.09297089,"((x0 - cos(sqrt(x0 + x0))) + 3.2110212) - cos(sqrt(sqrt(sqrt(x0))) + sqrt(x0))"
19,0.07759851,"(1.8030027 + (x0 + (sqrt(sqrt(x0)) + cos(sqrt(x0) + 4.656074)))) - cos(sqrt(x0 + x0))"
20,0.07093237,"((x0 + sqrt(x0)) + 1.2564753) + (cos(sqrt(x0) + 4.757341) - cos(sqrt(x0 + x0) - -0.703934))"
21,0.026507031,"(sqrt(sqrt(x0)) + ((x0 + cos(sqrt(x0 + x0) + 3.9511302)) - cos(sqrt(x0 + x0)))) + 2.12242"
23,0.026507007,"(((cos(sqrt(x0 + x0) + 3.9511416) - cos(sqrt(x0 + x0))) + (sqrt(sqrt(x0)) + x0)) + -0.008093221) - -2.1305015"
24,0.016534619,"x0 + (((cos(sqrt(x0) + -1.6552563) + cos(sqrt(x0) + 4.62795)) - cos(sqrt(x0) + 1.4863315)) - (-0.38252342 - sqrt(x0)))"
26,0.016534604,"(cos(sqrt(x0) + -1.6552558) + ((cos(sqrt(x0) + 4.627951) - cos(sqrt(x0) + 1.4863322)) - (-0.3835234 - sqrt(x0)))) + (x0 - x2)"
28,0.01653458,"cos(sqrt(x0) + -1.6552566) + (((cos(sqrt(x0) + 4.62795) - cos(sqrt(x0) + 1.4863316)) - (-0.38452303 - sqrt(x0))) + ((x0 - x2) - x2))"
30,0.016534558,"(((x0 - x2) - x2) + 0.04094171) + ((cos(sqrt(x0) + -1.6552559) + (cos(sqrt(x0) + 4.627951) - cos(sqrt(x0) + 1.4863299))) - (-0.34356228 - sqrt(x0)))"
