Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127073 - x0"
5,49.36608,"sqrt(exp(18.19025 - x0))"
6,48.101738,"exp(15.170915 - x0) - -2.3446684"
7,47.064888,"sqrt(exp(18.059778 - x0) + 4.0265865)"
8,47.043316,"sqrt(exp(18.06339 - x0) + sqrt(x0))"
9,45.86403,"exp(2.8061163 - exp(x0 + -14.328779)) + 2.1081376"
10,45.37817,"log(exp(17.184563 - exp(x0 + -12.262832)) + 8.596638)"
12,45.356552,"log(exp(18.016808 - exp(x0 + -12.262773)) + x0) - 0.8226243"
13,45.133076,"log(exp(15.480744 - exp(x0 + (-12.875754 - cos(x0)))) + 8.691561)"
15,44.750404,"exp(2.43712 - exp(x0 - exp(6.533242 - exp(x0 + -13.289024)))) + 2.1634479"
16,44.703903,"log(exp(14.318372 - exp(x0 - exp(7.1758375 - exp(x0 + -13.10306)))) + 8.5489235)"
18,44.68303,"log(4.6838703 + exp(13.148338 - exp(x0 - exp(11.964891 - exp(x0 + -12.399727))))) - -0.58990866"
19,44.66712,"0.6831454 + log(sqrt(x0) + exp(13.148338 - exp(x0 - exp(11.964891 - exp(-12.399727 + x0)))))"
23,44.66343,"log(sqrt(x0) + (exp(13.148338 - exp(x0 - exp(11.964891 - exp(x0 + -12.399727)))) + (-0.6686788 + 0.12681293))) - -0.80343723"
25,44.66338,"log(sqrt(x0) + (exp(13.148338 - exp(x0 - exp((11.964891 - exp(x0 + -12.399727)) + x2))) + (-0.6686788 + 0.12681293))) - -0.80343723"
27,44.663334,"log((sqrt(x0) + exp(13.148338 - exp(x0 - exp(((11.964891 - exp(x0 + -12.399727)) + x2) + x2)))) + (-0.6686788 + 0.12681293)) - -0.80343723"
28,44.66316,"log((sqrt(x0) + exp((13.148338 - exp(x0 - exp(11.964891 - exp(x0 + -12.399727)))) + sqrt(x2))) + (-0.6686788 + 0.12681293)) - (x2 + -0.80343723)"
