Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.12707 - x0"
6,51.292213,"sin(x0) - (x0 - 21.94725)"
8,51.281536,"21.921665 - (x0 + sin(x0 + 3.0282013))"
9,50.629707,"21.962011 - (x0 + cos(x0 - sqrt(x0)))"
11,50.28196,"(21.849583 - x0) + sin((x0 + -2.0979307) - sqrt(x0))"
12,50.074875,"(21.914642 - x0) + sin(sin(sqrt(x0 - 8.543793)) + x0)"
13,49.77694,"(21.836359 - x0) + sin(x0 + (2.3117993 - sqrt(x0 + -12.03808)))"
14,49.65914,"sin(((0.99366087 - x0) + sqrt(x0)) + sqrt(x0)) + (21.832228 - x0)"
15,49.60038,"(sin(x0 + (22.367437 - sqrt((x0 + x0) + -22.55832))) + 21.863033) - x0"
16,49.47481,"((21.656225 - x0) + sin(x0)) + sin((x0 + 2.2645054) - sqrt(x0 + -12.0377245))"
18,49.451633,"((21.687037 - x0) + sin((x0 + 2.1930583) - sqrt(x0 + -12.045824))) + sin(x0 + 0.22669773)"
19,49.149654,"((sin((sqrt(x0) - x0) + 5.190765) - x0) + 21.586645) + sin(sqrt(x0) - (x0 + 7.3749266))"
21,48.761436,"((sin((x0 + -4.154528) - sqrt(x0 + -12.043165)) + x1) + -2.335838) - (x0 + cos(x0 - sqrt(x0)))"
23,48.31719,"((21.656225 - x0) + sin(x0 + (2.2645054 - sqrt(x0 + -12.0377245)))) + sin((x0 + 2.2645054) - sqrt(x0 + -12.0377245))"
25,48.300495,"((x1 + -2.403026) - (x0 - sin((x0 + -3.8617887) - sqrt(x0 + -12.0411)))) + sin(x0 + (-3.8617887 - sqrt(x0 + -12.0411)))"
27,48.154865,"sin((x0 + -3.902359) - sqrt(x0 + -12.03932)) + ((x1 + -2.4316754) - (x0 + sin((x0 + 0.7037215) - sqrt(x0 + (x0 + -20.496544)))))"
28,48.07259,"((21.56561 - x0) + sin(((x0 - -10.193116) - sqrt(x0 + -0.756568)) - sqrt(x0 + x0))) + sin((x0 + 2.3084784) - sqrt(x0 + -12.067586))"
30,48.03806,"((sin(x0 + ((3.5175245 - sqrt(x0 + -12.031102)) + -1.1228197)) + 21.591188) - x0) + sin(((-9.71913 - sqrt(x0 + -7.5920315)) + x0) - sqrt(x0 + x0))"
