Complexity,Loss,Equation
1,54.316387,"3.0363507"
3,52.234707,"22.12707 - x0"
6,51.29221,"(sin(x0) + 21.947252) - x0"
8,51.281536,"sin(x0 + -6.3968997) + (21.921358 - x0)"
9,50.880657,"(sin(x0) + (sqrt(x0) + 17.589685)) - x0"
11,50.013435,"(sin(sqrt(x0 + -8.341835) - x0) - -21.851122) - x0"
13,49.65265,"sin(sqrt((x0 - x1) + x0) - x0) + (21.889048 - x0)"
15,49.626324,"(21.88287 - x0) + sin(sqrt((x0 - x1) + x0) - (x0 + 0.134873))"
16,49.256783,"(sin(x0) - x0) + (sin(sqrt(x0 + (x0 - x1)) - x0) - -21.709064)"
18,49.204575,"(sin(x0 + 0.3019206) + 21.789831) + (sin(sqrt(x0 + (x0 - x1)) - x0) - x0)"
19,48.649986,"(sin(sqrt(x0 + -8.542924) - x0) - x0) + (sin(sqrt(x0 + -8.543023) - x0) + 21.583874)"
21,48.266853,"(sin(sqrt(x0 + (x0 - x1)) - x0) - x0) + (sin(sqrt(x0 + -9.406128) - x0) + 21.640558)"
23,48.15839,"((sin(sqrt(x0 + (x0 - x1)) - x0) - x0) + sin(sqrt(x0 + (x0 - x1)) - x0)) - -21.651072"
25,48.10811,"((sin(sqrt((x0 + x0) - x1) - (x0 - -31.650854)) - x0) + sin(sqrt((x0 + x0) - x1) - x0)) - -21.643288"
26,47.886642,"((cos(x0) + sin(sqrt(x0 + (x0 - x1)) - x0)) - x0) + (sin(sqrt(x0 + (x0 - x1)) - x0) - -21.689508)"
28,47.837326,"((cos(x0) + sin(sqrt(x0 + (x0 - 23.747116)) - x0)) - x0) + (sin(sqrt(x0 + (x0 - 23.744612)) - (x0 + x2)) - -21.888756)"
