Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802498"
6,1.3254442,"(x0 - cos(x0)) + 3.955387"
7,1.2057607,"(x0 + 3.673319) - cos(sqrt(x0))"
9,0.62703294,"(3.604081 - cos(sqrt(x0 + x0))) + x0"
11,0.6206635,"(x0 + 3.5954878) - cos(sqrt(x0 + x0) - -0.08067763)"
12,0.5528349,"((x0 - cos(x0)) - cos(sqrt(x0 + x0))) + 3.7567627"
13,0.5345463,"x0 + ((3.1247509 - cos(sqrt(x0) + 1.3535942)) - cos(sqrt(x0)))"
14,0.33386272,"x0 + ((3.7978945 - cos(sqrt(x0) + sqrt(x0))) - cos(sqrt(x0)))"
15,0.17133717,"((x0 + 3.078972) - cos(sqrt(x0) + 1.0385803)) - cos(sqrt(x0 + x0))"
17,0.10752255,"(x0 + (3.3788638 - cos(sqrt(x0 + x0)))) - cos(-0.33230585 - sqrt(x0 + x0))"
18,0.101742744,"x0 + ((3.3918095 - cos(sqrt(x0 + x0))) - cos(sqrt((x0 + x0) + sqrt(x0))))"
20,0.08327103,"cos(-3.389341 - sqrt(x0 + x0)) + ((x0 - cos(sqrt((sin(x0) + x0) + x0))) + 3.3157253)"
22,0.08156112,"(cos(sqrt((x0 + sin(x0)) + x0) - -9.524664) + (x0 - cos(sqrt(x0 + x0) + -6.119446))) + 3.3096159"
23,0.07424374,"cos(-9.584439 - sqrt(sin(x0) + (x0 + x0))) + ((x0 - cos(sqrt((x0 + x0) + sin(x0)))) + 3.2521462)"
25,0.07284254,"cos(sqrt(x0 + (sin(x0) + x0)) - -9.511665) + ((x0 - cos(sqrt(x0 + (sin(x0) + x0)) + -6.1959815)) + 3.248759)"
27,0.0728425,"(cos(sqrt((x0 + sin(x0)) + x0) - -9.51168) + ((x0 - cos(sqrt((x0 + sin(x0)) + x0) + -6.1960063)) + 3.2477643)) + x2"
29,0.07284245,"(cos(sqrt(x0 + (sin(x0) + x0)) - -9.511695) + (((x0 - cos(sqrt(x0 + (sin(x0) + x0)) + -6.196024)) + 14.463509) - x2)) - 11.21376"
