Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.8024979"
4,0.10021928,"sqrt(x0 * 19.763647)"
6,0.058348853,"sqrt(x0 * 18.257437) - -0.4116376"
7,0.028304983,"sqrt((22.423265 - sqrt(x0)) * x0)"
8,6.1248094e-5,"sqrt(x0 * (23.052378 - (x0 * 0.43267667)))"
10,5.425574e-5,"sqrt(x0 * (23.106384 - (x0 * 0.43626234))) + -0.007145341"
12,4.9851813e-5,"sqrt((x0 * (23.116724 - (x0 * 0.43688414))) + x2) + -0.008742326"
14,1.2575782e-5,"sqrt((22.778303 - (x0 * 0.47052535)) * x0) + ((x0 * x1) * x2)"
16,8.482174e-6,"((x0 * (x1 * x2)) + sqrt((22.742344 - (x0 * 0.46817514)) * x0)) + 0.0049091815"
22,6.508995e-6,"((x2 * (x0 + ((x0 * x1) + x0))) + (sqrt((22.813244 - (x0 * 0.472545)) * x0) + 0.006339628)) * 0.9977058"
24,4.767948e-6,"((((((x0 * x1) + x0) + x0) * x2) + (sqrt((11.945477 - (x0 * 0.25445503)) * x0) + 0.012458988)) / 0.7283768) - x2"
25,3.0564224e-6,"((sqrt((14.464971 - (x0 * 0.3045429)) * x0) + (x2 - -0.0075359745)) + (x2 * (x0 * (x1 + 1.0071706)))) / (0.8314381 - sqrt(x2))"
26,1.7366864e-6,"(((x2 * ((x0 * x1) + (x0 * ((x0 * x2) + x1)))) + sqrt((39.762646 - (x0 * 0.85031253)) * x0)) / 1.3284316) + 0.013658327"
28,1.5705939e-6,"(((x2 * ((x0 * x1) + (x0 * (x2 + x1)))) + ((sqrt((39.760746 - (x0 * 0.85047466)) * x0) + x2) - 0.74482334)) / 1.3283482) + 0.5735227"
30,1.5050796e-6,"((((x2 * ((x0 * x1) + (x0 * ((x0 * x2) + x1)))) + (sqrt((39.76075 - (x0 * 0.8504702)) * x0) + x2)) - 0.74481875) / 1.3283168) + 0.57352877"
