Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.12707 - x0"
5,48.07758,"19.663889 / (x0 + -11.143987)"
7,48.025734,"(24.061302 / (x0 + -10.935171)) - 0.60459095"
9,47.12336,"(101.7493 / (x0 - 9.228412)) + (x0 + -27.616411)"
11,47.01072,"((x0 + -29.817207) + (136.5784 / (x0 - 7.2321167))) * 1.8662299"
13,47.010715,"((x0 + -29.817377) + (136.57878 / (x0 - 7.231472))) * (x2 + 1.8673573)"
21,47.010567,"(((x0 - 14.471743) - x1) + ((((294.7687 / (x0 - 7.1199036)) + (x1 + x0)) + -46.115593) / 1.1141901)) + 1.4663398"
24,47.00973,"((((294.7594 / (x0 - 7.1152797)) - x1) - x1) + (((x0 - -0.00754201) + ((x1 + x0) + sqrt(x0))) + -41.549515)) * 0.9053291"
25,47.00755,"(((x0 - 14.491363) - x1) + (((294.7511 / (x0 - 6.7495112)) + x1) + (x0 + -46.1506))) / ((x2 / (0.44774747 / x0)) + 0.94858706)"
26,46.97992,"(((x0 - 14.1507635) - x1) + ((294.75943 / (x0 - 6.566219)) + (x1 + (x0 + -45.81002)))) / (((x2 / x0) + sqrt(x0)) * 0.25574166)"
