Complexity,Loss,Equation
1,54.316383,"3.0355155"
3,52.234707,"22.127071 - x0"
5,49.36608,"sqrt(exp(18.190315 - x0))"
6,48.101746,"exp(15.170809 - x0) + 2.3435936"
7,47.064896,"sqrt(exp(18.058811 - x0) + 4.027973)"
8,47.043365,"sqrt(exp(18.058825 - x0) + sqrt(x0))"
9,45.75387,"exp(sin(x0) - (x0 + -15.156738)) + 2.0697892"
11,45.7538,"exp(x2 - ((x0 + -15.158004) - sin(x0))) + 2.069775"
15,45.65549,"sqrt(exp(sin(x0) - ((cos(x0 - -2.4052713) + -17.115137) + x0)) - -4.3121724)"
16,45.553364,"(exp(sin(x0 + sin(-14.143159 - x0)) - (x0 + -15.675217)) + 2.2085364) - 0.14710374"
17,45.49289,"exp(sin(-1.5115902 - sin(x0)) - (((-1.4153452 - sin(x0)) + x0) + -14.586836)) - -2.0376287"
19,45.49287,"(exp(sin(-1.5058378 - sin(x0)) - ((-1.5273536 - sin(x0)) + (x0 + -14.477699))) - -2.0356915) - x2"
20,45.379925,"sqrt(exp((sin(x0) - (x0 + -17.153921)) - sin(sin(x0 + 0.59528434) - (x0 + 1.2791238))) - -4.2519183)"
21,45.312828,"sqrt(exp((sin((x0 + sin(cos(x0) - x0)) + 1.4018058) + sin(x0)) - (x0 + -17.117338)) - -4.2472258)"
23,45.31218,"sqrt(exp((sin(x0) - (x0 + -17.148052)) + sin((x0 + sin(cos(x0) - x0)) + -17.41985)) - -4.280896) + -0.047669083"
25,45.29659,"sqrt(exp(sin(x0) - ((x0 + -17.202099) + sin(sin(x0) - (x0 + (sin(-0.9226995 - (x0 + 0.25702658)) + -17.22101))))) - -4.1254635)"
27,45.1948,"exp(sin(x0) - (x0 + (sin(sin((x0 + 0.521933) - cos(x1)) - ((sin(-1.0616384 - x0) + x0) + -23.739914)) + -14.648549))) - -2.0986047"
28,45.193542,"exp(sin(x0) - (x0 + (sin(sin((x0 + 0.521933) - sin(cos(x1))) - ((sin(-1.0616384 - x0) + x0) + -23.739914)) + -14.648549))) - -2.0986047"
