Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.8024988"
4,0.10021928,"sqrt(x0 * 19.763647)"
6,0.0531558,"log(x0 + 1.2032586) * 5.6575437"
7,0.02830498,"sqrt((22.42322 - sqrt(x0)) * x0)"
8,6.124288e-5,"sqrt((23.051691 - (x0 * 0.43260694)) * x0)"
10,5.4234057e-5,"sqrt(x0 * (23.102055 - (x0 * 0.43586662))) + -0.006850681"
12,7.5529115e-6,"((-4.7150054 - (x0 * -0.06250928)) * (1.1685587 - sqrt(x0))) + 5.5280194"
15,2.7434949e-6,"((-0.0036468606 - sqrt(x0)) * (-4.7247734 - (x0 * -0.058202192))) + sin(x0 * 0.060345136)"
18,9.959439e-7,"(-4.7685494 - (x0 * -0.027456105)) * ((((x0 * (x2 * 1.1942607)) * x0) - sqrt(x0)) - 0.0020261966)"
19,9.93836e-7,"((-4.7683043 - (x0 * -0.02740118)) * (((x0 * sin(x2 * 1.1977851)) * x0) - sqrt(x0))) - -0.009758064"
20,9.791668e-7,"((-4.7672987 - (x0 * -0.027641794)) * (((x0 * (x2 * (x0 * 1.1943498))) - sqrt(x0)) - -0.03093638)) - -0.15750913"
21,9.791663e-7,"((-4.7672987 - (x0 * -0.027641794)) * (((x0 * (sin(x2) * (x0 * 1.1943498))) - sqrt(x0)) - -0.03093638)) - -0.15750913"
22,9.294948e-7,"((-5.984412 - ((x0 * -0.029908441) + -1.2199676)) * (((x2 * x0) * (x0 * 1.1238115)) - (sqrt(x0) - 0.18146676))) - -0.8748917"
24,9.144269e-7,"((-5.9831777 - ((x0 * -0.03066626) + -1.2212341)) * ((((x2 * x0) * ((x0 - 0.3493545) * 1.1059269)) - sqrt(x0)) - -0.19295609)) - -0.9297674"
26,9.143557e-7,"((-5.9831705 - ((x0 * -0.030667534) + -1.2212404)) * ((((x0 * x2) * ((x0 - 0.34935442) * 1.1059271)) - sqrt(x0)) - -0.19315594)) - (-0.9297263 - x2)"
30,9.1175383e-7,"((((-5.9840794 - ((x0 * -0.029738378) + -1.2203307)) * ((((x0 * x2) * ((x0 - -0.030617597) * (x1 * 0.047271144))) - sqrt(x0)) - -0.19256301)) - -0.9299122) - x2) - x2"
