Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127073 - x0"
5,51.28261,"(x0 * -0.6403068) - -15.260541"
6,46.223213,"exp(exp(cos(x0 * 0.4913028)))"
8,46.181522,"exp(exp(cos(x0 * -0.49157494))) - -0.20471328"
9,46.125813,"exp(exp(sin(sqrt(x0 * 15.538858)))) + 0.33088708"
11,45.84834,"exp(exp(cos(x0 * 0.48530945))) - sin(x0 * -0.7095309)"
13,45.811817,"exp(exp(cos((x0 * 0.5194167) - 0.5017983))) - sin(x0 * -0.7227472)"
14,45.423462,"exp(exp(sin(sqrt(exp(sqrt(x0 - 10.5379095))) - sin(x0 + 0.7884144))))"
15,45.399635,"exp(exp(sin(sqrt(exp(sqrt(x0 - 10.7204275))) - sin(cos(x0 + 11.866702)))))"
16,45.36943,"exp(exp(sin(sqrt(exp(sqrt(x0 - 10.559561))) - cos(x0 + -13.3365135)))) + 0.23393703"
17,45.31389,"exp(exp(sin(exp(sqrt(sqrt(x0 - 12.06515))) - (exp(cos(x0 + -1.2077397)) + -0.8693369))))"
18,45.240326,"exp(exp(sin((exp(sqrt(sqrt(x0 - 12.027763))) - cos((x0 * 1.2811202) + 7.4397535)) + -13.158727)))"
19,45.200375,"exp(exp(sin(exp(sqrt(sqrt(x0 + -11.909899))) - (exp(cos(x0 + -1.175618)) + -0.7771243)))) - -0.34869534"
20,45.10591,"exp(exp(sin(exp(sin((exp(sqrt(sqrt(x0 - 11.184441))) - cos(x0 + -0.73885095)) + -0.95252836)) + -0.8655521)))"
22,44.996822,"exp(exp(sin(exp(sin((exp(sqrt(sqrt(x0 - 11.955034))) - cos((x0 * 1.2875957) + 1.2322537)) + -0.56701666)) + -0.9039405)))"
24,44.979725,"exp(exp(sin(exp(sin(exp(sin((exp(sqrt(sqrt(x0 - 11.636475))) - cos(x0 + -0.71890223)) + -0.8268811)) + -1.1334922)) + -0.8756853)))"
26,44.918896,"exp(exp(sin(exp(sin(exp(sin((exp(sqrt(sqrt(x0 - 11.972535))) - cos((x0 + 0.8606786) * 1.2970787)) + -0.5605325)) + -1.0647262)) + -0.91533315)))"
27,44.918175,"exp(exp(sin(exp(sin(exp(sin((exp(sqrt(sqrt(x0 - 11.999132))) + -0.5626613) - cos((x0 + exp(x2)) * 1.2866943))) + -1.0619485)) + -0.90861833)))"
28,44.917965,"exp(exp(sin(exp(sin(exp(sin((exp(sqrt(sqrt(x0 - 11.994046))) - cos((x0 + 1.0993963) * 1.2802033)) + -0.58775073)) + -1.0491351)) + -0.92003703) - x2))"
30,44.87309,"exp(exp(sin(exp(sin(exp(sin(exp(sin((exp(sqrt(sqrt(x0 - 11.972563))) - cos((x0 + 0.86056024) * 1.2987629)) + -0.5605826)) + -1.0647066)) + -1.0647904)) + -0.9153233)))"
