Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127071 - x0"
5,49.366077,"sqrt(exp(18.190527 - x0))"
6,48.10174,"exp(15.171603 - x0) + 2.3446567"
7,47.0649,"sqrt(exp(18.058828 - x0) + 4.02671)"
8,47.04333,"sqrt(exp(18.061304 - x0) + sqrt(x0))"
9,45.753796,"exp((15.158815 - x0) + sin(x0)) + 2.0691907"
11,45.72476,"sqrt(sqrt(x0)) + exp(sin(x0) + (15.174337 - x0))"
12,45.6698,"(sqrt(x0) + exp((sin(x0) + 15.231478) - x0)) - 2.3619475"
14,45.638477,"exp(15.636525 - (x0 + sin(sin(x0 + (x0 + 1.879917))))) + 2.056885"
15,45.620567,"exp(15.633612 - (x0 + sin(sin(sin((x0 + x0) + 1.9278736))))) + 2.0625558"
16,45.220837,"exp(15.577407 - (x0 - sin((x0 - (sin(x0) + 0.593445)) + x0))) + 2.0166373"
18,45.19149,"sqrt(sqrt(x0)) + exp(15.587371 - (x0 - sin(x0 + (x0 - (sin(x0) + 0.5938422)))))"
20,45.18251,"sqrt(sqrt(x0)) + exp(15.5617075 - (x0 - sin((x0 - (sin(x0 + -0.09825799) + 0.6352994)) + x0)))"
21,45.106224,"(exp(14.356078 - (x0 + (-1.3183155 - sin(x0 + (x0 - (sin(x0) + 0.63230515)))))) + sqrt(x0)) + -2.428897"
23,45.09337,"exp(15.011086 - (x0 + (-0.681457 - sin((x0 + x0) - (sin(x0) + 0.6291743))))) + (sqrt(x0 + -6.8813763) - 1.5650779)"
24,45.090942,"exp(12.905798 - (x0 + (-2.766666 - sin(x0 + ((x0 - sin(x0)) + -0.6423697))))) + (sqrt(x0 + cos(x0)) - 2.3973916)"
25,45.065056,"exp(15.197299 - (sin(x0 + (x0 + -4.0880656)) + (sin((x0 + sin(x0 + (x0 + -4.0453486))) + -3.2417848) + x0))) + 2.0741677"
27,45.06505,"exp(15.197352 - (sin((x0 + (x0 + x2)) + -4.0880814) + (sin((x0 + sin((x0 + x0) + -4.0453253)) + -3.2418) + x0))) + 2.0741732"
29,45.065044,"exp(15.197352 - (sin((x0 + x0) + -4.0880814) + (sin(x0 + ((sin(x0 + (x0 + -4.0453253)) + x2) + -3.2418)) + x0))) + (2.0741732 - x2)"
