Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405168,"x0 + 3.8028357"
4,0.1002193,"sqrt(x0 / 0.050598156)"
6,0.058348853,"sqrt(x0 * 18.257776) + 0.411558"
7,0.02830498,"sqrt(x0 * (22.423264 - sqrt(x0)))"
8,6.124566e-5,"sqrt(x0 * (23.05219 - (x0 / 2.3112688)))"
10,5.424731e-5,"sqrt(x0 * (23.100634 - (x0 / 2.294795))) - 0.0066860695"
12,4.9866463e-5,"sqrt(x2 + (x0 * (23.118776 - (x0 / 2.2881596)))) - 0.008978357"
14,1.233966e-5,"(x0 * 0.025657805) + sqrt((x0 * 0.94831246) * (x1 - (x0 / 2.004409)))"
16,5.663323e-7,"(sqrt((x0 * 0.93803775) * (x1 - (x0 / 1.9263864))) + 0.013044909) + (x0 * 0.038799148)"
22,5.623531e-7,"(sqrt((x0 * (x1 - (x0 / 1.926384))) * (x2 + 0.9370661)) + (0.012859623 - (x2 * -0.06589706))) + (x0 * 0.03880524)"
