Complexity,Loss,Equation
1,54.316383,"3.0355155"
3,52.234707,"22.127073 - x0"
5,48.07757,"19.66956 / (x0 - 11.145915)"
7,48.025715,"(x1 / (x0 - 10.939747)) - 0.6006725"
11,46.95141,"((((20.312243 / x0) + -2.1597836) / x2) / x0) + 58.873543"
14,46.930805,"(((-32.727825 / sqrt(x0)) + ((70.27573 / x0) - -3.8398945)) / x2) / x0"
16,46.863525,"(((15.611293 / x0) + ((-9.188246 / sqrt(x0)) - -1.5178325)) / x2) - (x0 * 12.094131)"
18,46.844215,"(((-5.374339 / (sqrt(x0) + (19.199457 / x0))) - -1.2180564) / x2) - (0.0113396 / (x2 / x0))"
22,46.830933,"((((11.635717 / x0) + (-6.0003037 / sqrt(x0))) - -0.7900784) / x2) - ((x0 / (x2 / x0)) * (x0 * 3.5092307e-6))"
25,46.770473,"((((6.602063 / x0) + ((-3.0100474 / sqrt(x0)) - -0.32834136)) / x2) - (((sqrt(x1) / x2) / (x0 - x1)) * -0.00268511)) + x0"
26,46.764698,"(((((6.5857973 / x0) + (-3.001694 / sqrt(x0))) - -0.32733908) / x2) - (((x0 / x2) / (x0 - x1)) * -0.0005449017)) + (x0 + -0.54384667)"
27,46.76126,"(((((-2.432491 / sqrt(x0)) - -0.2184022) + (5.7511992 / x0)) / x2) - (((sqrt(x1) / x2) / (x0 - x1)) * -0.002877433)) + (x0 * 2.1826847)"
