Complexity,Loss,Equation
1,54.316387,"3.0352178"
3,52.234707,"22.127071 - x0"
4,51.55449,"exp(23.84493 / x0)"
5,48.077587,"19.692019 / (x0 + -11.143223)"
6,46.540016,"exp(exp(sin(101.427086 / x0)))"
8,46.338783,"exp(exp(sin(100.823944 / x0))) - -0.4730229"
9,46.13637,"exp(sin(100.73829 / x0) * 2.6568918) + 1.8921586"
10,45.551712,"exp(exp(sin(exp(sin(103.05381 / x0)) * -1.8817219)))"
12,45.314854,"exp(exp(sin(exp(sin(102.83094 / x0)) * -1.8854303))) + 0.49385884"
13,45.251427,"exp(sin(exp(sin(102.78034 / x0)) * -1.889633) * 2.6144521) + 1.9680784"
14,45.096497,"exp(sin(sin(exp(sin(101.470634 / x0)) * -1.7485529) / 0.509667) + 1.6958598)"
15,45.057552,"exp(exp(sin(sin(59.014297 - (exp(sin(102.28219 / x0)) * -2.1933513)) * 1.8071678)))"
16,44.99578,"exp(sin(sin(exp(sin(99.99402 / x0)) * -2.0409694) * 1.9377043) * 2.5540583) + 2.0552697"
17,44.944523,"exp(sin(exp(sin(exp(sin(103.26404 / x0)) * -1.936144)) * -1.8641411) * 2.5637584) + 2.0030558"
18,44.883316,"exp(sin(sin(exp(sin(exp(sin(100.12463 / x0)) * -2.092362)) * -2.1329582) * 2.0947752) + 1.7065656)"
19,44.855873,"exp(sin(sin(sin(exp(sin(exp(sin(100.00723 / x0)) * -2.101688)) * -2.1458309)) * 2.4419188) + 1.7013612)"
20,44.8372,"exp(sin(sin(exp(sin(exp(sin(101.51082 / x0)) * -2.0271213)) * -2.0094857) * 1.8156351) * 2.5154173) + 2.069342"
21,44.809277,"exp(sin(sin(sin(exp(sin(exp(sin(100.12463 / x0)) * -2.092362)) * -2.1329582) * 2.0947752) * 2.0947752) + 1.7065656)"
25,44.76725,"exp(sin(sin(sin(sin(sin(exp(sin(exp(sin(99.82456 / x0)) * -2.1307752)) * -2.1931458) * 1.9449121) * 1.8942086))) * 3.3815882) + 2.0505526"
26,44.740448,"exp(exp(sin(sin(exp(sin(exp(sin(sin(exp(sin(exp(sin(102.50448 / x0)) * -1.9601576)) * -2.0143728))) * -2.294727)) * -1.9012377) + 0.42542595)))"
27,44.730644,"exp(sin(sin(exp(sin(exp(sin(sin(exp(sin(exp(sin(102.517586 / x0)) * -1.9810605)) * -1.9804766))) * -2.1740165)) * -1.9208298) * 1.5798529) + 1.6541268)"
29,44.718914,"exp(exp(sin(sin(sin(exp(sin(exp(sin(sin(exp(sin(exp(sin(102.03068 / x0)) * -2.011085)) * -2.0376186))) * -2.25953)) * -1.8379252) * 1.5577729))) + 0.31789836)"
30,44.69259,"exp(exp(sin(sin(exp(sin(exp(sin(sin(exp(sin(exp(sin(exp(sin(102.56698 / x0)) * -1.9845876)) * -1.9816166)) * -2.0452173))) * -2.264607)) * -1.815639) + 0.38456872)))"
