Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802498"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.058348853,"sqrt(x0 * 18.257725) + 0.41157418"
8,6.124281e-5,"sqrt(x0 * ((x0 * -0.43263415) + 23.051855))"
10,5.4241755e-5,"sqrt(x0 * ((x0 * -0.4361613) + 23.105936)) + -0.007258661"
12,1.4545851e-5,"((sqrt(x0) - 1.378708) * ((x0 * -0.065734975) + 4.689107)) - -6.49123"
13,1.4322621e-5,"sqrt((sqrt(x1 * (x1 + (x0 * -0.7607355))) - 1.1020107) * x0)"
14,7.375329e-6,"((x0 * 0.0073818257) + 0.9181454) * (sqrt(x0) * ((x0 * -0.08513489) + 5.213932))"
16,3.7659422e-6,"((((x0 * -0.08714288) + 5.21472) * sqrt(x0)) + 0.00663791) * ((x0 * 0.007929236) + 0.916631)"
18,1.4578202e-6,"(((x0 * -0.011162744) + 0.68333834) * ((sqrt(x0) * ((x0 * 0.05095576) + 6.9751163)) - 1.2923445)) + 0.89197993"
20,5.2572807e-7,"((((x0 * -0.008687744) + 0.53768426) * (sqrt(x0) - (x2 + 0.39263663))) - -0.21298659) * ((x0 * 0.05280729) + 8.837506)"
22,5.1764977e-7,"(((x0 * 0.053208902) + 9.118401) * (((((x0 * -0.008388258) + 0.5209935) * (sqrt(x0) - 0.3854032)) + x2) - -0.23836146)) + -0.33964595"
