Complexity,Loss,Equation
1,54.316387,"3.0367208"
3,52.234707,"22.12707 - x0"
5,51.282616,"(x0 * -0.6409534) + 15.27276"
6,51.02149,"27.661604 - (sqrt(x0) * 5.651237)"
8,49.442066,"(21.882433 - sin(x0 * -0.6494439)) - x0"
9,47.605713,"((-10.547974 - (x0 * -0.27312037)) * x0) + 102.84752"
10,47.211258,"((7.1291404 - sin(x0 * -0.6501452)) * 2.999584) - x0"
12,46.604454,"(cos(x0) + 113.91948) - (x0 * (11.889222 - (x0 * 0.31285632)))"
14,46.365105,"(123.74606 - (x0 * (13.059714 - (x0 * 0.347021)))) + (cos(x0) * 1.7513098)"
16,46.292126,"(125.38537 - (x0 * (13.236931 - (x0 * 0.35151637)))) + (cos(x0 - 0.251341) * 1.8462898)"
18,45.881016,"((4.518584 - sin((x0 * 0.5764578) - (8.725015 - sin(sqrt(x0 * 11.956914))))) * 5.037613) - x0"
20,45.873394,"((4.202121 - sin((x0 * 0.5693434) - (8.60005 - sin(sqrt(x0 * 11.964398))))) * 5.2310095) - (x0 + -0.90995497)"
22,45.87195,"(((4.634515 - sin((x0 * 0.5636697) - (8.503544 - sin(sqrt(x0 * 11.933508))))) * 5.2702465) - (x0 + 0.29890263)) + -1.2154216"
26,45.853237,"(((4.0532365 - sin((x0 * 0.5965817) - (8.682434 - sin(sqrt(x0 * 24.749249))))) * 6.2443886) - (x0 + 0.09675903)) + ((x2 + -1.8842043) - 0.79161227)"
29,45.758385,"(((4.446911 - sin((x0 * 0.62377477) - (9.336715 - sin((x0 * 0.5878824) - (8.666226 - sin(sqrt(x0) * 0.6719787)))))) * 5.513471) - (x0 + 0.5963253)) + -1.2535583"
