Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405168,"x0 + 3.8028352"
4,0.10021928,"sqrt(x0 * 19.763647)"
6,0.05834884,"sqrt(x0 * 18.257336) + 0.41162047"
7,0.028304975,"sqrt(x0 * (22.423239 - sqrt(x0)))"
8,6.124291e-5,"sqrt(x0 * (23.051867 - (x0 * 0.4326351)))"
9,1.7130464e-5,"sqrt(x0 * sqrt(30.28427 - x0)) * 2.0394843"
11,9.458051e-6,"(sqrt(sqrt(30.425194 - x0) * x0) + 0.0034903523) * 2.0349257"
14,1.5985372e-6,"((x0 * 0.03352676) - -0.009762749) + sqrt(x0 * ((x0 * -0.48056325) - -22.59829))"
16,9.338417e-7,"((x0 * 0.03560775) + sqrt(x0 * ((x0 * -0.48306867) - (x2 + -22.565695)))) - -0.0110117225"
18,5.5865263e-7,"((sqrt(((x1 * 3.0277076) - (x0 * 1.5709262)) * x0) * 0.5566267) + (x0 * 0.038696304)) - -0.012997132"
23,5.498351e-7,"(sqrt((x0 * (x1 - (x0 * 0.5222414))) * 3.2427835) * 0.5335252) + ((((x0 + sqrt(x0)) - -0.21734633) * 0.038424306) + 0.004599663)"
