Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.8024988"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.058348846,"sqrt(x0 * 18.2578) + 0.41155127"
8,6.124328e-5,"sqrt(x0 * ((x0 * -0.43264967) + 23.051886))"
10,5.4254186e-5,"sqrt(((x0 * -0.43624526) + 23.106972) * x0) + -0.0073412852"
11,4.214286e-5,"sqrt(x0) + sqrt(((x0 * -0.3359646) + 14.431066) * x0)"
13,2.0931458e-5,"sqrt(((x0 * -0.24846423) + 8.36168) * x0) + (sqrt(x0) * 1.9033307)"
14,1.2334251e-5,"sqrt(x0 * (((x0 * -0.47275302) + x1) - 1.2403246)) + (x0 * 0.025528207)"
16,5.6102436e-7,"sqrt(x0 * (((x0 * -0.48699683) + x1) - 1.4897426)) + ((x0 * 0.038927633) + 0.0131367445)"
18,5.59458e-7,"(sqrt(x0 * (((x0 * -0.4867497) + x1) - 1.4873906)) + ((x0 * 0.038752045) - x2)) + 0.014082114"
20,5.5944594e-7,"((sqrt(x0 * ((x0 * -0.48675016) + (x1 - 1.4873906))) + ((x0 * 0.038752396) - x2)) + 0.043611463) - 0.029529424"
22,5.590319e-7,"((sqrt(x0 * ((x0 * -0.48681715) + (x1 - 1.4873573))) + ((x0 * 0.038778163) - x2)) + 0.044097323) - (x2 + 0.029044459)"
30,5.5884163e-7,"(((sqrt(x0 * (((x0 - x0) + ((x0 * -0.48677668) + (x1 - 1.4879594))) + x2)) + (((x0 * 0.038748395) - x2) + 0.05737202)) - 0.04132163) - x2) - x2"
