Complexity,Loss,Equation
1,54.316387,"3.0363488"
3,52.234707,"22.127073 - x0"
4,51.55449,"exp(23.838749 / x0)"
5,48.0776,"19.676874 / (x0 + -11.142674)"
6,46.223217,"exp(exp(cos(x0 / -2.0353982)))"
8,46.183254,"exp(exp(sin((x0 / -1.9508009) + 1.9003372)))"
9,45.9693,"exp(exp(sin(sin(x0 / -2.4537213) / 0.48817787)))"
10,45.856018,"exp(exp(sin(sin(sin(x0 / -2.435418)) / 0.41753742)))"
11,45.66435,"exp(exp(sin(sin(x0 / -2.4386702) / 0.4737122))) + 0.56918937"
12,45.42467,"exp(exp(sin(sin(sin(x0 / -2.3719141) / 0.37141088) / 0.5162446)))"
13,45.36481,"exp(exp(sin(sin(sin(sin(x0 / -2.3632987) / 0.35628244)) / 0.43718907)))"
14,45.107605,"exp(exp(sin(sin(sin(x0 / -2.3703797) / 0.37089294) / 0.5057772))) + 0.5669542"
15,45.058506,"exp(exp(sin(sin(sin(sin(x0 / -2.3639348) / 0.35822096)) / 0.42864946))) - -0.56077224"
17,44.968407,"exp(exp(sin(sin(sin(sin((x0 / -2.4796436) + -0.37195963) / 0.35843986) / 0.41671368) + 0.58327657)))"
18,44.965126,"exp(exp(sin(sin(sin(sin(sin(x0 / -2.3550293) / 0.34787294) / 0.47517252)) / 0.62608093))) + 0.5591251"
19,44.932762,"exp(exp(sin(sin(sin(sin((x0 / -2.506729) + -0.46022576) / 0.36221018) / 0.4163156) + 0.80118513))) + -0.44383603"
20,44.894665,"exp(exp(sin(sin(sin(sin((sin(x0 / -2.3548458) + -0.024176527) / 0.33973756)) / 0.44048545) / 0.51656497))) + 0.6182245"
21,44.86799,"exp(exp(sin(sin(sin(sin(sin((sin(x0 / -2.352407) + -0.025329132) / 0.33587632)) / 0.42675316)) / 0.43748242))) + 0.6194659"
23,44.86258,"(exp(exp(sin(sin(sin(sin(sin((sin(x0 / -2.3518074) + -0.030764513) / 0.33714685)) / 0.34603524)) / 0.44405606))) + 0.9419931) / 1.1047479"
24,44.84585,"exp(exp(sin(sin(sin(sin(sin(((x0 / 0.9968903) / -2.3990655) + -0.14634137) / 0.3980004) / 0.38379648) / 0.4028854) / 0.52284193))) + 0.62589765"
25,44.78916,"exp(exp(sin(sin(sin(sin(sin(sin(((x0 / 0.9933505) / -2.4032383) + -0.13913302) / 0.32068998) / 0.40333366) / 0.5136335)) / 0.4409614))) + 0.62349886"
27,44.788097,"(exp(exp(sin(sin(sin(sin(sin(sin(((x0 / 0.99450934) / -2.4059718) + -0.15342112) / 0.32088575) / 0.40859124) / 0.5108311)) / 0.43570623))) + 0.89815694) - 0.24712329"
28,44.725746,"exp(exp(sin(sin(sin(sin(sin(sin(sin(((x0 / 0.9876952) / -2.4166718) + -0.14120783) / 0.319908) / 0.44270957) / 0.42656764) / 0.513413)) / 0.44270957))) + 0.61885977"
30,44.724426,"(exp(exp(sin(sin(sin(sin(sin(sin(sin(((x0 / 0.98769563) / -2.416672) + -0.14120783) / 0.31990802) / 0.44270957) / 0.42656764) / 0.513413)) / 0.44270957))) + 0.61885977) + 0.0490823"
