Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405168,"x0 + 3.8026268"
4,0.10021928,"sqrt(x0 * 19.763647)"
6,0.058348846,"sqrt(x0 * 18.257793) - -0.4115532"
8,6.1243205e-5,"sqrt(((x0 * -0.43263885) + 23.05191) * x0)"
10,5.4229728e-5,"sqrt(x0 * ((x0 * -0.43596035) + 23.103207)) - 0.0069517237"
11,1.7130416e-5,"sqrt(sqrt(x1 + (x0 * -0.7924942)) * x0) * 2.161583"
13,9.458377e-6,"(sqrt(x0 * sqrt((x0 * -0.7887463) + x1)) * 2.1592302) - -0.0071410327"
15,9.457907e-6,"(sqrt(sqrt(x1 + ((x0 + -6.347469) * -0.9967254)) * x0) * 2.0365684) - -0.007106337"
17,6.6535263e-6,"(sqrt((sqrt(x1 + ((x0 + -0.057021588) * -0.6869651)) - 0.7292268) * x0) * 2.3414385) + 0.0048235464"
19,6.5741647e-6,"((sqrt(x0 * (sqrt(x1 + ((x0 + 0.028184887) * -0.65984267)) - 0.9036167)) * 2.3942227) + x2) + 0.0032776345"
20,1.4693607e-6,"(sqrt(x0 * sqrt(x1 + ((log(x1 + (x0 * x0)) + x0) * -0.61630076))) * 2.2026334) - -0.00831244"
22,1.2969514e-6,"(sqrt(x0 * sqrt(x1 + ((log((x0 * x0) + (x1 - x0)) + x0) * -0.61649793))) * 2.2004569) - -0.01040308"
24,8.976725e-7,"(sqrt(sqrt(x1 + ((log(x1 + (((x0 * x0) - x0) - 2.5795746)) + x0) * -0.6144464)) * x0) * 2.19891) - -0.009749529"
26,8.943646e-7,"(sqrt(sqrt(x1 + ((log((x0 * x0) + (x1 - (x0 - -2.647438))) + x0) * -0.61437565)) * x0) * 2.1988513) - (x2 - 0.010778103)"
27,8.8525724e-7,"(sqrt(sqrt(x1 + ((log((x0 * x0) + (x1 - (x0 - -3.2020054))) + x0) * -0.61386615)) * x0) * 2.198484) - sin(x2 - 0.010654968)"
28,8.836128e-7,"(((sqrt(sqrt(x1 + ((log(((x0 * x0) + x1) - (x0 - -3.2019997)) + x0) * -0.6139047)) * x0) * 2.1985075) - -0.008337011) - x2) - -0.0022789116"
