Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"(sqrt(x0) + 0.09633954) * 4.272862"
8,0.0001621343,"sqrt(x0) * ((x0 * -0.048274774) + 4.80992)"
10,6.124238e-5,"sqrt(x0 * (x1 + (x0 * -0.4504047))) * 0.98004186"
12,5.4229993e-5,"sqrt(((x1 + (x0 * -0.43594468)) + -0.89694417) * x0) + -0.0069496636"
14,1.2330375e-5,"sqrt(x0 * (x1 + ((x0 * -0.47294414) + -1.2413757))) + (x0 * 0.025636645)"
16,5.635569e-7,"sqrt(((x0 * -0.48623836) + (x1 + -1.4815284)) * x0) + ((x0 * 0.03835881) - -0.012888816)"
18,5.6020156e-7,"((x0 * 0.038648926) + (sqrt((x1 + ((x0 * -0.48660076) + -1.4861202)) * x0) - -0.50447595)) + -0.49141538"
20,5.5903666e-7,"((((x0 + 1.3698002) * 0.038759846) + sqrt(((x1 + (x0 * -0.48678237)) + -1.4871818) * x0)) - -0.47792658) + -0.5179716"
22,5.589951e-7,"(((x0 + 1.3698195) * 0.03876576) + ((sqrt(((x1 + (x0 * -0.48679766)) + -1.4871833) * x0) - -0.4784188) + -0.5174795)) - x2"
25,5.0363064e-7,"((log(x0 + x1) * -1.3085933) + ((sqrt((x1 + ((x0 * -0.517153) + -1.4861671)) * x0) - -0.92227936) - (x0 * -0.09584048))) + 3.2492647"
