Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"(sqrt(x0) + 0.0963393) * 4.2728634"
8,6.124357e-5,"sqrt(((x0 * -0.43265003) + 23.052004) * x0)"
9,6.124342e-5,"sqrt(x0) * sqrt((x0 * -0.43265003) + 23.052004)"
10,5.4233205e-5,"sqrt(x0 * ((x0 * -0.43607873) + 23.10481)) + -0.0071262196"
11,1.7254215e-5,"sqrt(sqrt((x1 + (x0 + -54.308422)) * -17.283005) * x0)"
13,9.504764e-6,"sqrt(x0 * sqrt((x1 + (x0 + -54.407936)) * -17.163157)) - -0.0066984077"
15,9.473416e-6,"sqrt(sqrt((x1 + (x0 + -54.43557)) * -17.139427) * x0) - (x1 + -24.007124)"
16,8.566156e-6,"sqrt((sqrt(((x0 + -8.130371) * -0.1552717) + sqrt(x1)) + -0.65271956) * x0) * 3.5406837"
18,6.6840257e-6,"(x2 + sqrt(x0 * (sqrt(((x0 + -6.2074857) * -0.16274479) + sqrt(x1)) + -0.4478609))) * 3.3980913"
20,6.572319e-6,"(sqrt((sqrt(sqrt(x1) + ((x0 + -6.213897) * -0.1638627)) + -0.43442786) * x0) * 3.3846657) - (x2 - 0.005365874)"
21,1.689239e-6,"sqrt(((((x0 + x1) + -53.900433) * -0.5892669) + (sqrt((x1 + x0) + -20.763142) + 3.3353105)) * x0) + 0.0095684705"
23,1.5652976e-6,"sqrt(((((x0 + -24.910421) * -0.58791345) + sqrt((x1 + x0) + -20.61711)) + (x1 * 0.26156098)) * x0) + (x2 + 0.0082604615)"
25,1.3037544e-6,"sqrt((sqrt((x1 - 0.8958424) + ((x0 * 0.8043509) + -20.773924)) + (((x0 + (x1 + -54.18026)) * -0.5756178) + 3.8646834)) * x0) - -0.009047288"
29,1.3037431e-6,"((sqrt(((sqrt(((x1 - 0.8958424) + -20.773924) + (x0 * 0.8043509)) + ((x0 + (x1 + -54.18026)) * -0.5756179)) + 3.8646834) * x0) - -0.009047298) - x2) + x2"
