Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.12707 - x0"
5,51.282616,"(x0 * -0.6409504) + 15.272706"
6,46.76424,"exp(exp(sin(x0 * -0.38334915)))"
8,46.183258,"exp(exp(sin((x0 * -0.51236546) + 1.8963125)))"
9,45.969387,"exp(exp(sin(sin(x0 * -0.40766114) * 2.0546844)))"
10,45.856037,"exp(exp(sin(sin(sin(x0 * -0.41062477)) * 2.3926597)))"
11,45.664757,"exp(exp(sin(sin(x0 * -0.41037455) * 2.1186335))) + 0.5737685"
12,45.542217,"exp(exp(sin(sin(sin(x0 * -0.4128677)) * 2.4685538))) - -0.58148015"
13,45.465775,"exp(exp(sin(sin(sin(sin(x0 * -0.41463217))) * 2.748682))) - -0.582043"
14,45.44518,"exp(sin(sin(sin(sin(x0 * -0.4221911) * 2.64377)) * 2.1608732) - -1.6165247)"
15,45.118626,"exp(sin(sin(sin((x0 * 0.39564022) + -2.6705768) * 2.688236) * 2.1447556) - -1.7142874)"
16,45.05225,"exp(sin(sin(sin(sin((x0 * -0.39771327) + -0.44535083) * 2.74655)) * 2.4961448) - -1.7109579)"
17,45.017574,"exp(sin(sin(sin(sin(sin(x0 * -0.4223874) + -0.08207174) * 3.032752)) * 2.4703584) - -1.7048392)"
18,44.92182,"exp(sin(sin(sin((sin(x0 * -0.42374685) + -0.07322628) * 2.718795) * 2.5471818) * 2.0926137) - -1.6942596)"
19,44.884274,"exp(sin(sin(sin(sin((sin(x0 * -0.42435393) + -0.06107338) * 2.2878919) * 2.6562657)) * 2.466459) - -1.7056597)"
20,44.8627,"exp(sin(sin(sin(sin(sin((sin(x0 * 0.2536692) + -0.11143335) * -4.808886) * 2.7331622))) * 2.751474) - -1.7059507)"
21,44.79062,"exp(sin(sin(sin(sin((sin(x0 * -0.42445704) + -0.06666979) * 2.886634) * 2.3897114) * 2.4030006) * 1.9530725) - -1.6842443)"
24,44.78242,"exp(sin(sin(sin(sin(sin((sin(x0 * -0.42328942) + -0.08554098) * 2.225597) * 2.569546) * 2.225597) * 2.569546) * 2.3639636) - -1.674659)"
25,44.751564,"exp(sin(sin(sin(sin(sin(sin((sin(x0 * -0.42328942) + -0.08554098) * 2.225597) * 2.569546) * 2.569546) * 2.569546)) * 2.3639636) - -1.674659)"
27,44.73974,"exp(sin(sin(sin(sin(sin(sin(sin(sin(sin(x0 * -0.42328942) + -0.08554098) * 2.569546) * 2.569546) * 2.569546) * 2.569546))) * 2.569546) - -1.674659)"
28,44.711044,"exp(sin(sin(sin(sin(sin(sin(sin((sin(x0 * -0.42328942) + -0.08554098) * 2.225597) * 2.225597) * 2.569546) * 2.569546) * 2.569546)) * 2.3639636) - -1.674659)"
29,44.704853,"exp(sin(sin(sin(sin(sin(sin(sin(sin((sin(x0 * -0.42328942) + -0.08554098) * 2.569546) * 2.569546) * 2.569546) * 2.569546) * 2.569546))) * 2.569546) - -1.674659)"
30,44.69121,"exp(sin(sin(sin(sin(sin(sin(sin((sin(x0 * -0.4233375) + -0.08552561) * 2.225597) * 2.569546) * 2.225597) * 2.569546) * 2.3639636) * 2.569546) * 2.3639636) - -1.6746593)"
