Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.058348846,"(sqrt(x0) + 0.096339054) * 4.2728634"
7,0.02830498,"sqrt(x0 * (22.423029 - sqrt(x0)))"
8,6.124237e-5,"sqrt(x0 * (23.051695 - (x0 * 0.43261558)))"
10,5.4233813e-5,"sqrt(x0 * (23.104792 - (x0 * 0.43610254))) - 0.0070852214"
12,7.3752913e-6,"sqrt(x0) * (((-0.039677337 - (x0 * 0.00062849204)) * x0) - -4.7871466)"
13,7.375266e-6,"sqrt(x0) * (((-0.039677337 - sin(x0 * 0.00062849204)) * x0) - -4.7871466)"
14,3.776638e-6,"(sqrt(x0) * (((-0.038514413 - (x0 * 0.0006913154)) * x0) - -4.7800326)) - -0.006067859"
16,1.2159732e-6,"((x0 * (x0 * -0.0046559656)) - (sqrt(x0) * ((x0 * 0.029954556) + -4.771316))) + 0.008794114"
19,9.82421e-7,"(((x0 * (x0 + -0.9578128)) * -0.004439847) - (sqrt(x0) * ((x0 * sqrt(x2)) + -4.7674193))) + 0.009641976"
20,5.2367034e-7,"(((x0 * (x0 * -0.00041783857)) - ((x0 * 0.04856807) + -4.7498727)) * sqrt(x0)) + ((x0 * 0.031936772) + 0.012245091)"
22,5.2113444e-7,"((((x0 * -0.00042340343) * x0) - ((x0 * 0.048344422) + -4.750654)) * sqrt(x0)) + (((x0 * 0.03117831) + 0.013069387) - x2)"
23,5.211225e-7,"((((sin(x0 * -0.00042347793) * x0) - ((x0 * 0.048343796) + -4.750654)) * sqrt(x0)) + ((x0 * 0.031178512) + 0.013069408)) - x2"
