Complexity,Loss,Equation
1,54.316387,"3.0351906"
3,52.234707,"22.127073 - x0"
4,51.55449,"exp(23.838703 / x0)"
5,48.077564,"19.660599 / (x0 + -11.14519)"
6,47.900066,"exp((72.80148 / x0) + -3.1109211)"
7,47.091644,"exp(sin(-143.8091 / x0)) * 4.5853386"
8,47.070587,"(sin(-87.80229 / x0) * -8.089994) - -9.103743"
9,46.136375,"exp(sin(-100.741 / x0) * -2.657288) - -1.8921142"
10,45.458138,"log(exp(sin(-143.48691 / x0) * 16.345764) - -8.588685)"
11,45.34199,"log(exp(sin(sin(-142.97746 / x0)) * 18.834185) + 8.579093)"
12,45.28261,"log(exp(sin(sin(sin(-142.5821 / x0))) * 20.936113) + 8.597467)"
14,45.241352,"log(exp(sin(sin(sin(-141.95236 / x0))) * (x0 / 0.62341565)) + 8.601693)"
15,45.117775,"log(exp(sin((sin(-141.35497 / x0) * 26.476688) / x0) * 15.388171) + 8.760948)"
17,45.11093,"log(exp(sin(sin(-141.43265 / x0) * (26.389843 / x0)) * 15.306784) - (10.458889 - x0))"
19,45.09958,"log(exp(sin((sin(-141.34111 / x0) * 26.410511) / x0) * 15.872578) - (7.5931754 - x0)) - 0.32311165"
20,45.087578,"exp(sin(sin(sin(sin(x1 / ((x0 * 3.361071) - 25.662317)) * 3.0289354) * 5.7974243) * 2.1113837)) * 5.447683"
22,45.07424,"(exp(sin(sin(sin(sin(x1 / ((x0 * 3.7623878) - 31.835638)) * 3.0019937) * 5.785694) * 1.9919658)) * 5.230417) + x2"
23,45.044834,"sqrt(exp(exp(sin(sin(sin(sin(sin(x1 / (((x0 * 3.5878298) - 24.661522) / x0)) * 2.612287) * 2.128963)))) * 2.6273267))"
24,44.98109,"exp(sqrt(exp(sin(sin(sin(sin(x1 / (((x0 * 3.612556) - 24.946573) / x0)) * 2.3949566) * 2.0614257))) * 3.3003924)) + -1.1694223"
25,44.91772,"sqrt(exp(exp(sin(sin(sin(sin(sin(x1 / (((x0 * 3.5409338) - 24.021946) / x0)) * 2.5496283)) * 2.3562067))) * 2.297129)) + 0.51167667"
26,44.9139,"sqrt(exp((exp(sin(sin(sin(sin(sin(sin(x1 / (((x0 * 3.5607169) - 24.235516) / x0)) * 2.5677834)) * 2.377039)))) * 2.3149285) + 0.45991966))"
27,44.865273,"exp(sqrt(exp(sin(sin(sin(sin(sin(x1 / (((x0 * 3.5993972) - 24.732525) / x0)) * 2.5173433) * 2.085433) * 1.8153102))) * 3.2585266)) + -1.1655384"
28,44.836937,"sqrt(exp(exp(sin(sin(sin(sin(sin(sin(x1 / (((x0 * 3.5436563) - 23.976412) / x0)) * 2.5445862) * 2.5445862)) * 2.3561954))) * 2.3015623)) + 0.4477233"
29,44.82732,"sqrt(exp(exp(sin(sin(sin(sin(sin(sin(sin(x1 / (((x0 * 3.5436563) - 23.976412) / x0)) * 2.5445862)) * 2.5445862)) * 2.3561954))) * 2.3015623)) + 0.4477233"
30,44.77254,"exp(sqrt(exp(sin(sin(sin(sin(sin(sin(x1 / (((x0 * 3.5993972) - 24.732525) / x0)) * 2.5173433) * 2.085433) * 2.5173433) * 2.085433))) * 3.2585266)) + -1.1655384"
