Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802501"
4,0.10021928,"sqrt(x0 * 19.763647)"
6,0.058348846,"sqrt(x0 * 18.2578) - -0.41155174"
8,6.124374e-5,"sqrt(((x0 * -0.43264756) + 23.051855) * x0)"
10,5.4229902e-5,"sqrt(((x0 * -0.43596268) + 23.103268) * x0) - 0.0069649275"
12,7.375287e-6,"(4.7871423 - (x0 * ((x0 * 0.00062859815) + 0.03967584))) * sqrt(x0)"
14,3.944005e-6,"(4.781564 - (x0 * ((x0 * 0.000678388) + 0.038744915))) * (sqrt(x0) + x2)"
16,9.955648e-7,"((x0 * -0.02740367) + 4.768455) * ((sqrt(x0) - ((x0 * 0.0011972821) * x0)) + 0.0020293642)"
18,8.483006e-7,"((sqrt(x0) - 0.21823208) * ((x0 * -0.033047173) + 4.7654333)) - (-1.0498523 - ((x0 * x0) * -0.00422596))"
20,8.3482524e-7,"(((sqrt(x0) - 0.22849922) * ((x0 * -0.03321068) + 4.765132)) - (-1.0477015 - ((x0 * x0) * -0.0042030243))) + 0.051065665"
22,6.745448e-7,"(((sqrt(x0) - ((x0 * -0.0019237378) + 0.19510989)) * ((x0 * -0.036950257) + 4.7579203)) - -0.9395957) - (x0 * (x0 * 0.0036144364))"
26,6.7454204e-7,"(((sqrt(x0) - ((x2 * x2) + ((x0 * -0.0019224009) + 0.1951088))) * ((x0 * -0.03694443) + 4.7579174)) - -0.9395991) - (x0 * (x0 * 0.003615522))"
27,6.745362e-7,"(((sqrt(x0) - ((x0 * ((sin(x2) * x2) + -0.0019238809)) + 0.19511016)) * ((x0 * -0.036945183) + 4.7579155)) - -0.93960005) - (x0 * (x0 * 0.0036154601))"
