Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.12707 - x0"
5,51.282616,"(x0 * -0.6409509) + 15.272717"
6,46.223217,"exp(exp(cos(x0 * 0.49132547)))"
8,46.181522,"exp(exp(cos(x0 * -0.49157745))) + 0.20441037"
9,46.146503,"exp(exp(cos(sqrt(x0 - -3.1362278) * -4.689655)))"
11,45.88251,"cos(x0 * -0.628406) + exp(exp(cos(x0 * -0.48448762)))"
12,45.882507,"cos(x0 * cos(-0.8915214)) + exp(exp(cos(x0 * -0.48448762)))"
13,45.305717,"exp(exp(cos(0.7402388 - (cos(x0 * -1.3818026) - (x0 * 0.45485544)))))"
15,45.199394,"exp(exp(cos((cos(1.5565588 - (x0 * -1.2748365)) - (x0 * 0.4025441)) - 1.52527)))"
16,45.181553,"exp(exp(cos((-1.5107145 - (sin(cos(x1 - (x0 * -2.3371663))) - x0)) * 0.5474863)))"
18,45.167114,"exp(exp(cos((-1.7542443 - (sin(cos(x1 - (x0 * -2.3388965))) - x0)) * 0.55541486) + -0.012454144))"
20,44.972885,"exp(exp(cos(cos(x0 - cos(cos(exp(x0 - -1.6627069)))) - (((x0 + 4.2663555) * 0.33504075) - x1))))"
22,44.89539,"exp(exp(cos((((x0 + 4.2663555) * 0.33504075) - x1) - cos(x0 - cos(cos(exp(x0 - -1.6627069))))))) + 0.30704388"
24,44.894726,"(exp(exp(cos(cos(x0 - cos(cos(exp(x0 - -1.6627069)))) - (((x0 + 4.2663555) * 0.33504075) - x1)))) + 0.30704388) - 0.036142495"
25,44.894665,"(exp(exp(cos(cos(x0 - cos(cos(exp(x0 - -1.6627069)))) - (((x0 + 4.2663555) * 0.33504075) - x1)))) + 0.30704388) - sqrt(x2)"
29,44.894646,"((exp(exp(cos(cos(x0 - cos(cos(exp(x0 - -1.6627069)))) - (((x0 + 4.2663555) * 0.33504075) - x1)))) + (0.30704388 - sqrt(x2))) - -0.2598036) - 0.25642264"
