Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.8024979"
6,1.4197582,"(x0 + 2.0090382) + sqrt(x0)"
7,1.277816,"(x0 + sqrt(sqrt(x0))) + 2.5412188"
9,1.1979588,"(sqrt(sqrt(x0 + x0)) + x0) - -2.302676"
10,1.1218511,"sqrt(sqrt(x0) + sqrt(x0)) + (x0 - -2.018722)"
11,0.9488148,"((sqrt(x0) + sqrt(x0)) + sqrt(x0)) + sqrt(x0)"
12,0.83669907,"(sqrt(x0 + x0) + (sqrt(x0) + sqrt(x0))) + 1.9516655"
13,0.10444586,"((sqrt(x0) + sqrt(x0 + x0)) + sqrt(x0)) + sqrt(x0)"
15,0.07944193,"sqrt(x0) + ((sqrt(x0) + (sqrt(x0) + sqrt(x0 + x0))) - -0.15812917)"
16,0.03420458,"sqrt(x0 + x0) + ((sqrt(x0 + x0) + sqrt(x0)) + sqrt(sqrt(x0)))"
18,0.031430855,"sqrt(x0 + x0) + ((sqrt(sqrt(x0)) + (sqrt(x0) + sqrt(x0 + x0))) + -0.052663513)"
20,0.031430826,"sqrt(x0 + x0) + ((((sqrt(sqrt(x0)) + sqrt(x0)) + sqrt(x0 + x0)) + -0.05166979) - x2)"
22,0.03143077,"((((sqrt(x0 + x0) + (sqrt(sqrt(x0)) + sqrt(x0))) + -0.5872037) - -0.07228885) + 0.4622472) + sqrt(x0 + x0)"
24,0.026441399,"(sqrt(x0) + ((sqrt((sqrt(x0) + sqrt(x0)) + sqrt(x0 + x0)) + sqrt(x0 + x0)) + sqrt(x0))) - 0.3791365"
25,0.021294758,"sqrt(x0 + x0) + (((sqrt((sqrt(x0) + (sqrt(x0) + sqrt(x0))) + sqrt(x0)) + sqrt(x0)) + sqrt(x0)) - 0.5711829)"
27,0.019151147,"(sqrt(x0) + (sqrt((sqrt(x0 + 0.031009817) + sqrt(x0)) + (sqrt(x0) + sqrt(x0))) + (sqrt(x0) + sqrt(x0 + x0)))) - 0.58186954"
29,0.018064102,"sqrt(x0) + ((sqrt(x0 + x0) + (sqrt(sqrt(x0) + ((sqrt((x0 - -0.13415211) + x0) + sqrt(x0)) + sqrt(x0))) + sqrt(x0))) - 0.7217509)"
