Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802498"
6,1.3254443,"(x0 - cos(x0)) + 3.9551861"
7,1.1724175,"(x0 + 5.2735972) - exp(cos(x0))"
8,0.48132867,"x0 + (4.681369 - exp(1.2728235 - x0))"
9,0.39113623,"x0 + (5.586655 - exp(exp(0.48578715 - x0)))"
10,0.13654606,"x0 + exp(0.72738934 - cos(sqrt(x0) - -1.0452642))"
12,0.0295338,"(6.756712 - exp(cos(sqrt(x0) - -1.1049103) - -1.5272715)) + x0"
13,0.0042819018,"(exp(2.3066733 - exp(cos(-1.073619 - sqrt(x0)))) + -1.6812416) + x0"
15,0.001878467,"(x0 + -3.0859475) + exp(2.3983247 - exp(cos(-1.0787202 - sqrt(x0)) - 0.2690394))"
17,0.0018783743,"exp(2.3984354 - exp(cos(sqrt(x0) - -1.0787301) - 0.26910746)) + ((x0 + -3.0859234) - x2)"
19,0.0018783171,"exp(2.398543 - exp(cos(-1.0787417 - sqrt(x0)) - 0.2691767)) + (((x0 + -3.0858994) - x2) - x2)"
20,0.0017496564,"((x0 + exp(2.421665 - exp(cos(sqrt(x0) - -1.1043644)))) + -1.6284536) - cos(cos(-2.9048438 - sqrt(x0)))"
21,0.00014423509,"exp(2.4086554 - exp(cos(-1.2039723 - sqrt(x0)) - 0.833436)) + ((x0 - cos(-0.7685239 - sqrt(x0))) + -5.1792135)"
23,0.00013791388,"(exp(2.437727 - exp(cos(-1.2071474 - sqrt(x0)) - 0.87105507)) + ((x0 - 0.35970065) + -5.1546636)) - cos(sqrt(x0) - -0.76056594)"
25,0.00013776726,"(exp(2.437727 - exp(cos(-1.2071474 - sqrt(x0)) - 0.87105507)) + ((x0 - 0.35970065) + -5.1546636)) - cos((x2 + sqrt(x0)) - -0.76056594)"
27,0.00013763548,"(exp(2.4377522 - exp(cos(-1.2071608 - sqrt(x0)) - 0.871104)) + (x0 + ((x2 - 0.35967752) + -5.1546407))) - (cos(sqrt(x0) - -0.7605781) + x2)"
29,0.00013761099,"((exp(2.4378462 - exp(cos(sqrt(x0) - -1.2071712) - 0.8711545)) + (x0 + ((x2 - 0.3596544) + -5.1546173))) - (cos(sqrt(x0) - -0.7605879) + x2)) - x2"
