Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802498"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"(sqrt(x0) + 0.09633954) * 4.272862"
7,0.00024958112,"sin(sqrt(x0 * 0.06304955)) * 19.184473"
8,6.124291e-5,"sqrt(((x0 * -0.4326444) + 23.051867) * x0)"
10,5.424954e-5,"sqrt(((x0 * -0.4362206) + 23.106668) * x0) + -0.0073131337"
12,7.375288e-6,"((((x0 * -0.00062857225) + -0.03967618) * x0) + 4.787143) * sqrt(x0)"
14,3.7767513e-6,"(((((x0 * -0.000691318) + -0.038514376) * x0) + 4.7800326) * sqrt(x0)) - -0.0060679005"
15,1.2160085e-6,"(((((sqrt(x0) * -0.0046564606) + -0.029952127) * x0) + 4.7713037) * sqrt(x0)) + 0.008806768"
16,5.1575245e-7,"((((-0.049431913 - (x0 * 0.0004540138)) * x0) + 4.749578) * (sqrt(x0) - 0.66535634)) + 3.172398"
18,5.148044e-7,"((((-0.049236417 - (x0 * 0.00045901135)) * x0) + (4.751175 - x2)) * (sqrt(x0) - 0.65535957)) + 3.1251817"
20,5.1479856e-7,"((((-0.049079087 - ((x0 + 0.3428015) * 0.0004590202)) * x0) + (4.7511725 - x2)) * (sqrt(x0) - 0.6553742)) + 3.1252513"
21,5.0623214e-7,"((((-0.049012486 - (x0 * 0.0004659001)) * x0) + 4.7504807) * (sqrt(x0) - 0.6461042)) + (3.0815532 - (cos(x0) * 0.00016455955))"
23,5.0614636e-7,"((((((-0.049017277 - (x0 * 0.0004655727)) * x0) + 4.75149) - x2) * (sqrt(x0) - 0.64610463)) + 3.0815637) - (cos(x0) * 0.00017932501)"
25,5.059031e-7,"((((-0.049071237 - (x0 * 0.00046417376)) * x0) + (4.751307 - x2)) * (sqrt(x0) - 0.6461253)) + (3.0815597 - ((cos(x0) - x0) * 0.0001558222))"
28,5.056029e-7,"(3.0796034 - (cos(x0) * 0.00016627918)) + ((((((-0.049042176 - ((cos(1.2208989) + x0) * 0.00046090892)) * x0) + 4.7509565) - x2) * (sqrt(x0) - 0.65537304)) + 0.045738578)"
29,5.055509e-7,"(3.0796027 - (cos(x0) * 0.00016570665)) + (((((-0.0491833 - (((x0 + 0.033597432) + x2) * 0.00046094338)) * x0) + (4.750955 - x2)) * (sqrt(x0) - 0.6553737)) + 0.04574175)"
30,5.055501e-7,"((3.0796034 - (cos(x0) * 0.00016627918)) + ((((-0.049042176 - ((x0 + cos(x2 + 1.2208989)) * 0.00046090892)) * x0) + (4.7509565 - x2)) * (sqrt(x0) - 0.65537304))) + 0.045738578"
