Complexity,Loss,Equation
1,54.316387,"3.0363507"
3,52.234707,"22.127073 - x0"
5,51.282616,"(x0 * -0.6409537) + 15.272777"
6,46.76424,"exp(exp(sin(x0 * -0.38333008)))"
8,46.183247,"exp(exp(sin((x0 * -0.5125662) + 1.8993067)))"
9,46.031883,"exp(exp(sin(sin(x0 * -0.40559402) * 1.8685554)))"
11,45.199867,"exp(exp(sin(sin(x0 * -1.2735493) + (x0 * -0.3996149))))"
13,45.187763,"exp(exp(sin(sin(x0 * -1.2748752) + (x0 * -0.39928374)))) - -0.12004996"
15,45.187317,"exp(exp(sin(sin(x0 * -1.2748631) + (x0 * -0.39930072)) - 0.0021342388)) - -0.12863754"
16,45.154964,"exp(exp(sin(sin(cos(x0) + (x0 * -0.37985888)) + (x0 * -0.4035953)))) + 0.2716681"
18,45.149757,"exp(exp(sin(sin(cos(x0) + (x0 * -0.3781922)) + (x0 * -0.40432924)) + -0.009723089)) + 0.26992476"
19,45.03906,"exp(exp(sin((x0 * -0.40613735) + (cos(x0) + sin(((x0 * -0.5875148) + -2.5831513) + cos(x0))))))"
21,45.00917,"exp(exp(sin(((x0 * -0.4062157) + cos(x0)) + sin(((x0 * -0.6104013) + -2.3229468) + cos(x0))))) + 0.28892756"
23,45.009163,"(exp(exp(sin((x0 * -0.406199) + (cos(x0) + sin(((x0 * -0.6104119) + -2.3229463) + cos(x0)))))) + 0.28892782) - x2"
25,44.97993,"exp(exp(sin(sin(x0 * -0.40579373) + (sin(((x0 * -0.80254686) + cos(x0)) + sin(x0 * -1.2500039)) + cos(x0))))) + 0.48006988"
26,44.946384,"exp(exp(sin((sin(x0 * -0.36850432) + sin(((x0 * -0.8313763) + (cos(x0) + sin(x0 * -1.2190759))) + cos(x0))) + cos(x0))))"
28,44.91458,"exp(exp(sin((sin(x0 * -0.3737199) + sin(((x0 * -0.8310637) + cos(x0)) + (sin(x0 * -1.2190627) + cos(x0)))) + cos(x0)))) - -0.2069567"
29,44.900936,"exp(exp(sin((sin(x0 * -0.3710421) + sin((x0 * -0.8287833) + (cos(x0) + (sin(sin(x0 * -1.2171774)) + cos(x0))))) + cos(x0)))) - -0.20564191"
30,44.85941,"(exp(exp(sin(sin(cos(x0) + ((cos(x0) + (x0 * -0.8302992)) + sin(x0 * -1.2089951))) + (cos(x0) + sin(x0 * -0.3764069))))) - -0.5085485) * 0.9199203"
