Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127073 - x0"
5,49.366085,"sqrt(exp(18.189869 - x0))"
6,48.101788,"exp(15.16933 - x0) + 2.3495336"
7,47.064896,"sqrt(exp(18.05887 - x0) + 4.026762)"
8,47.043327,"sqrt(exp(18.06136 - x0) + sqrt(x0))"
9,46.722816,"exp(exp(sin(sqrt(x0 + (x0 + -23.08224)))))"
11,46.594444,"exp(exp(sin(sqrt(x0 + (x0 - 22.955187))))) + 0.37446168"
12,46.562275,"exp(exp(sin(sqrt((x0 + x0) - 22.890865)))) + sin(x0)"
14,45.492004,"exp(exp(sin(sqrt(x0 + (x0 - 21.152496)) + cos(-2.2783606 - x0))))"
16,45.361935,"exp(exp(sin(cos(-2.3135676 - x0) + sqrt(x0 + (x0 - 21.113983))))) + 0.36936867"
18,45.30048,"exp(exp(sin((cos(-2.196687 - x0) + sqrt((x0 - 23.308825) + x0)) + 0.52730566))) - -0.45109555"
20,45.04385,"sin(exp(x0 + 4.5914874)) + exp(exp(sin(cos(x0 - -2.1371045) + sqrt((x0 + x0) - 20.280869))))"
22,44.885677,"sin(exp(4.5914874 + x0)) + (exp(exp(sin(cos(x0 - -2.1371045) + sqrt((x0 + x0) + -19.998154)))) + 0.44560525)"
24,44.88566,"sin(exp(4.5914874 + x0)) + (exp(exp(sin(cos((x2 + x0) - -2.1371045) + sqrt(x0 + (x0 + -19.998154))))) + 0.44560525)"
26,44.825638,"sin(exp((x2 + 0.92275035) + x0)) + (exp(exp(sin(cos(x0 + (x2 - -2.1371045)) + sqrt(x0 + (x0 + -19.998154))))) + 0.44560525)"
29,44.803856,"(cos(sin(exp(x0 + 4.5914874))) + (sin(exp(x0 + 4.5914874)) + exp(exp(sin(cos(-2.1371045 - x0) + sqrt((x0 + x0) - 19.415813)))))) - 0.2180674"
