Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.8024988"
6,1.4197583,"(x0 + 2.009085) + sqrt(x0)"
7,1.277816,"(x0 + sqrt(sqrt(x0))) + 2.5412188"
9,1.1979588,"(sqrt(sqrt(x0 + x0)) - -2.3026755) + x0"
10,1.1218512,"x0 + (sqrt(sqrt(x0) + sqrt(x0)) - -2.018775)"
11,0.9488148,"((sqrt(x0) + sqrt(x0)) + sqrt(x0)) + sqrt(x0)"
12,0.83669907,"((sqrt(x0) + sqrt(x0)) + sqrt(x0 + x0)) + 1.9516655"
13,0.10444586,"((sqrt(x0 + x0) + sqrt(x0)) + sqrt(x0)) + sqrt(x0)"
15,0.07944193,"sqrt(x0) + ((sqrt(x0) + (sqrt(x0 + x0) + sqrt(x0))) + 0.15812916)"
16,0.03420458,"(sqrt(sqrt(x0)) + (sqrt(x0) + sqrt(x0 + x0))) + sqrt(x0 + x0)"
18,0.03143086,"(((sqrt(sqrt(x0)) + sqrt(x0)) + sqrt(x0 + x0)) + -0.052663535) + sqrt(x0 + x0)"
20,0.02129478,"sqrt(x0) + ((sqrt(sqrt(x0)) - (0.5711805 - (sqrt(x0) + sqrt(x0 + x0)))) + sqrt(sqrt(x0)))"
22,0.01921517,"((sqrt(sqrt(x0)) - (0.5817152 - (sqrt(x0) + sqrt(x0 + x0)))) + sqrt(x0)) + sqrt(sqrt(x0 + 0.014626492))"
24,0.01719545,"((sqrt(sqrt(x0 + 0.2394313) - 0.45154455) - (0.4219753 - (sqrt(x0 + x0) + sqrt(x0)))) + sqrt(sqrt(x0))) + sqrt(x0)"
26,0.016836375,"((sqrt(sqrt(x2 + x0)) + sqrt(x0)) + sqrt(sqrt(x0 + 0.2222298) - 0.44082052)) - (0.42432997 - (sqrt(x0 + x0) + sqrt(x0)))"
27,0.01666372,"sqrt(sqrt(x0 + sqrt(x2))) + (sqrt(sqrt(x0 + 0.14565933) - 0.3784049) + (sqrt(x0) + (sqrt(x0) + (sqrt(x0 + x0) - 0.45295987))))"
29,0.016654097,"(sqrt(sqrt(x0 + sqrt(x2))) + (sqrt(sqrt(x0 + 0.14565933) - 0.3784049) + ((sqrt(x0) + (sqrt(x0 + x0) - 0.45295987)) + sqrt(x0)))) + x2"
