Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802498"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834886,"(sqrt(x0) * 4.2728596) - -0.41165143"
7,0.02830498,"sqrt((22.423264 - sqrt(x0)) * x0)"
8,6.1245315e-5,"sqrt(x0 * (23.052149 - (x0 * 0.43267766)))"
10,5.4258246e-5,"sqrt(x0 * (23.104546 - (x0 * 0.43598318))) - 0.0070924903"
11,1.7487866e-5,"sqrt(x0) / ((exp(x0 / x1) * 0.04351297) + 0.16512845)"
14,9.793181e-6,"(4.782164 - (x0 * 0.03138886)) * (sqrt(x0) - (x0 * (x0 * x2)))"
15,9.793154e-6,"(4.782164 - (x0 * 0.03138886)) * (sqrt(x0) - ((x0 * x0) * sin(x2)))"
16,2.6843788e-6,"((x2 + sqrt(x0)) * (4.7765064 - (x0 * 0.031254318))) - ((x0 * x0) * 0.0043681767)"
18,1.2160308e-6,"(x2 + (sqrt(x0) * (4.77131 - (x0 * 0.029954646)))) - ((x0 * (x0 * 0.0046558436)) + -0.007803963)"
20,1.2158974e-6,"((x2 - -0.06327651) + ((sqrt(x0) * (4.771304 - (x0 * 0.029951889))) - ((x0 * x0) * 0.004656538))) + -0.055471566"
30,1.1529859e-6,"(((x2 - -0.052603383) + ((sqrt(x0) * (4.770479 - (x0 * 0.030377919))) - (x0 * (x0 * 0.0045946003)))) + -0.044641756) + (x2 * ((x0 * (x0 * -0.0029627117)) + x0))"
