Complexity,Loss,Equation
1,54.316383,"3.0355155"
3,52.234707,"22.12707 - x0"
5,51.282616,"(x0 * -0.6409508) + 15.272709"
6,51.02148,"(sqrt(x0) * -5.654695) + 27.676727"
7,50.884983,"(sqrt(sqrt(x0)) * -23.675993) + 52.424133"
8,50.087154,"(sqrt(x0 + -12.068532) * -3.5572917) - -12.263185"
9,49.181854,"(sqrt(sqrt(x0)) * (x0 + -112.8901)) + 198.4884"
10,47.349365,"((sqrt(x0) * -8.756047) + (x0 + 19.22561)) * 18.730236"
12,47.00998,"((x0 + (sqrt(x0) * -8.640936)) + 18.754583) * (34.06217 - x0)"
14,46.7213,"((((x0 + (sqrt(x0) * -11.759852)) + 38.82703) * x0) + -125.14065) * -5.1323943"
18,46.64306,"(((23.206629 - x0) * ((sqrt(x0) * -16.737648) + (x0 + (x0 + 35.1337)))) * 0.12916274) * x0"
20,46.605732,"((22.865969 - x0) * (((sqrt(x0) * -16.778046) + x0) + (x0 + 35.26739))) * ((x0 * 0.26661468) - 1.6995971)"
22,46.605648,"(((22.907969 - x0) * ((sqrt(x0) * -16.765383) + ((x0 + x0) + 35.224304))) * ((x0 * 0.26956844) - 1.7244183)) + -0.1936425"
24,46.605614,"(((((sqrt(x0) * -16.777834) + x0) + 35.264343) + x0) * (24.663467 - (x0 + 1.8159674))) * (((x0 * 0.27462193) - 1.1687492) + -0.6251149)"
25,46.446854,"(x0 - x1) * (((sqrt(x0) * -16.661165) + (x0 + (x0 + 34.78815))) * ((sqrt(x0) * -16.587883) + ((x0 + x0) + 32.068478)))"
27,46.285343,"((((sqrt(x0) * -16.343452) + (x0 + (x0 + 32.130722))) * (x0 - x1)) * ((x0 + x0) + ((sqrt(x0) * -16.54442) + 34.258022))) * 2.705593"
29,46.217674,"(((((x0 + (x0 + 30.230978)) + (sqrt(x0) * -15.7374)) * (x0 - x1)) * ((sqrt(x0) * -16.884083) + ((x0 + 35.49889) + x0))) * 3.340524) - -2.8099139"
