Complexity,Loss,Equation
1,54.316387,"3.0349221"
3,52.234707,"22.127073 - x0"
5,49.36608,"sqrt(exp(18.190132 - x0))"
6,48.101795,"exp(15.168414 - x0) + 2.3465488"
7,47.064896,"sqrt(exp(18.059023 - x0) + 4.026602)"
9,45.7538,"exp((sin(x0) - x0) + 15.159398) + 2.069879"
11,45.73855,"exp((sin(x0 + 6.2083545) + 15.211572) - x0) + 2.0440013"
12,45.563015,"exp((sin(x0 - cos(x0)) - x0) + 15.648347) + 2.0464425"
13,45.463295,"exp((sin(x0 - sin(cos(x0))) - x0) + 15.648347) + 2.0464425"
15,45.428757,"exp((sin(sin(x0 - (cos(x0) + -0.22232239))) - x0) + 15.608386) + 2.0825837"
17,45.386166,"exp((sin(x0 - (sin(cos(x0)) + -0.19724697)) - x0) + 15.548421) + (x2 + 2.0841491)"
18,45.2206,"exp((sin(x0 - (sin(x0) - (x0 + -6.8851724))) - (x0 + -6.9775066)) + 8.607183) - -2.0135238"
20,45.212692,"exp((sin(x0 - (sin(x0 + -6.3777122) - (x0 + -6.919393))) - (x0 + -6.8982515)) + 8.660227) + 2.010873"
25,45.111557,"exp((sin(x0 - (sin((x0 - (sin(x0) - x0)) + -6.675798) - (x0 + -7.3121657))) - (x0 + -6.9878263)) + 8.70924) + 2.037937"
26,45.111004,"exp((sin(x0 - (sin(sin(x0 - (sin(x0) - (x0 + -6.675798)))) - (x0 + -7.3121657))) - (x0 + -6.9878263)) + 8.70924) + 2.037937"
27,45.11066,"exp((sin(x0 - (sin(x0 - (sin(x0 + -6.2667656) - (x0 + -6.675798))) - (x0 + -7.3121657))) - (x0 + -6.9878263)) + 8.70924) + 2.037937"
28,45.094437,"exp((sin(x0 - (sin(sin(x0 - (sin(x0 + -6.125083) - (x0 + -6.6716876)))) - (x0 + -7.407958))) - (x0 + -7.0049233)) + 8.6877985) + 2.038399"
