Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 - -3.8024979"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"sqrt(x0 * 18.257793) - -0.41155222"
8,6.124299e-5,"sqrt(x0 * ((x0 * -0.43262047) + 23.051739))"
10,5.4230062e-5,"sqrt(((x0 * -0.4359782) + 23.10338) * x0) - 0.006966911"
12,7.375298e-6,"sqrt(x0) * ((x0 * ((x0 * -0.00062857434) + -0.039676163)) + 4.787143)"
13,7.375268e-6,"sqrt(x0) * ((x0 * (sin(x0 * -0.00062857434) + -0.039676163)) + 4.787143)"
14,3.7766138e-6,"(((x0 * ((x0 * -0.00069130154) + -0.038514603)) + 4.780033) * sqrt(x0)) + 0.0060678353"
15,1.2160739e-6,"(((x0 * ((sqrt(x0) * -0.0046570837) + -0.029949367)) + 4.771293) * sqrt(x0)) + 0.008813555"
16,8.354473e-7,"((((x0 * -0.017395837) * (sqrt(sqrt(x0)) + 0.7571203)) + 4.7648683) * sqrt(x0)) - -0.010517361"
18,8.3486833e-7,"((((x0 * -0.017343031) * (sqrt(sqrt(x0)) + 0.76869583)) + 4.764837) * (sqrt(x0) + -0.005019215)) - -0.034427926"
22,8.17287e-7,"(((x0 * ((sqrt(sqrt(x0 * ((x0 * 0.015668223) + 4.7713194))) * -0.0112749785) + -0.014291832)) + 4.7655587) * sqrt(x0)) + 0.0103229"
23,7.2911257e-7,"(((x0 * ((sqrt(sqrt(x0) * ((cos(x0) * 0.0033613916) + 1.7202382)) * -0.01321618) + -0.01329837)) + 4.765046) * sqrt(x0)) + 0.010449813"
25,7.263287e-7,"((4.765216 + (x0 * ((sqrt(sqrt(x0) * ((x0 * (x2 * cos(x0))) + 4.7713127)) * -0.00790856) + -0.013418045))) * sqrt(x0)) + 0.010384933"
27,7.234156e-7,"(((((sqrt(sqrt(x0) * ((x0 * (cos(x0 - -0.06393885) * x2)) + 4.7713137)) * -0.0079037715) + -0.013435911) * x0) + 4.765217) * sqrt(x0)) + 0.010396276"
28,6.490544e-7,"(sqrt(x0) * ((((sqrt(sqrt(x0) * ((((x0 * 0.9172698) * x0) * x2) + 4.771316)) * -0.006815105) + -0.018470902) * (x0 + -0.71703964)) + 4.743254)) + 0.011144689"
29,5.744137e-7,"(((((((cos(x0 * 0.40962848) * (x0 * x2)) + sqrt(sqrt(x0 * 4.771315))) * -0.010615289) + -0.017327914) * (x0 + -0.7170384)) + 4.7430024) * sqrt(x0)) + 0.011311981"
