Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 - -3.802498"
4,0.1002193,"sqrt(x0 * 19.763887)"
6,0.058348864,"sqrt(x0 * 18.25784) + 0.4115422"
8,6.12499e-5,"sqrt(((x0 * -0.43272048) + 23.0526) * x0)"
10,5.426541e-5,"sqrt(x0 * ((x0 * -0.4362944) + 23.107618)) - 0.007402986"
12,4.987718e-5,"sqrt((x0 * ((x0 * -0.43705744) + 23.119661)) + x2) + -0.009131201"
13,7.518715e-6,"sqrt(x0 * ((sqrt(x0 + x1) * 4.676634) + (x0 * -0.8541659)))"
15,2.391314e-6,"(((x0 * -0.13587043) + (sqrt(x0 + x1) * 0.9747368)) * sqrt(x0)) + 0.007960422"
16,1.1397495e-6,"sqrt(x0 * ((x0 * -0.5169772) + (sqrt(sqrt(x0) + x1) * 4.5768847))) - -0.014850272"
20,9.757227e-7,"sqrt(x0 * (((x0 * 0.4871896) + ((sqrt(sqrt(x0) + x1) * 4.338481) - x0)) + 1.2037067)) - -0.013754029"
25,9.705236e-7,"((sqrt(x0 * ((((sqrt(sqrt(x0) + x1) * 4.3382607) - x0) + 1.2032195) + (x0 * 0.48729584))) - sqrt(x2)) - -0.47431847) + -0.42867923"
26,8.092962e-7,"(x2 + sqrt(x0 * (((sqrt(sqrt(x0 - -0.12652732) + x1) * 4.4845376) - (x0 + -0.4573457)) + (x0 * 0.48518497)))) + (x2 + 0.010651399)"
