Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.8024988"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"sqrt(x0 * 18.257793) - -0.41155222"
8,6.124291e-5,"sqrt(x0 * ((x0 * -0.4326351) + 23.051867))"
10,5.423003e-5,"sqrt(x0 * ((x0 * -0.43599603) + 23.103727)) + -0.007007972"
12,1.2362779e-5,"sqrt(((x0 * -0.4721633) + 22.764767) * x0) + (x0 * 0.025117867)"
14,5.0058648e-6,"((x0 * -0.05743191) + 4.7222123) * (sqrt(x0) - ((x0 * -0.013270707) + -0.0036716098))"
16,9.951109e-7,"((x0 * -0.02740098) + 4.7684073) * (sqrt(x0) - (((x0 * x0) * 0.0011971825) + -0.002039409))"
17,9.950733e-7,"(sqrt(x0) - (((x0 * x0) * 0.0011972563) + sin(-0.0020392204))) * ((x0 * -0.027399762) + 4.7684073)"
18,7.01923e-7,"(sqrt(x0) * ((x0 * -0.03595119) + 4.760599)) - ((x0 * ((x0 * 0.0038114304) + -0.013686709)) - 0.010585109)"
21,6.4415815e-7,"(sqrt(sqrt(sqrt(x0 + 1.7641718)) + (x1 + ((x0 * -0.5087372) + -2.4812918))) * (sqrt(x0) + -0.3127272)) - -1.4996613"
23,6.3581274e-7,"(sqrt(((sqrt(sqrt(x0 + 1.3502599)) + x1) + 1.0746237) + ((x0 * -0.5059331) + -3.4865985)) * (sqrt(x0) + -0.25534263)) - -1.226762"
25,6.3550294e-7,"(sqrt((sqrt(sqrt(x0 + 1.3502595)) + (x1 + 1.0746181)) + ((x0 * -0.505961) + -3.486604)) * (sqrt(x0) + -0.2555438)) - (-1.2267185 - x2)"
