Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127073 - x0"
5,51.282616,"15.274654 - (x0 * 0.64104503)"
6,51.021484,"(4.8944726 - sqrt(x0)) * 5.6540394"
7,50.884987,"(sqrt(sqrt(x0)) * -23.67244) - -52.416927"
8,50.11934,"(sqrt(x0 - 12.027063) - 3.4115074) * -3.5309122"
9,47.60571,"102.83668 - ((10.546491 - (x0 * 0.2730736)) * x0)"
10,47.34939,"360.0436 - ((x0 * -18.7272) - (sqrt(x0) * -163.97656))"
11,47.31096,"703.65173 - ((x0 * -12.233853) - (sqrt(sqrt(x0)) * -447.83014))"
12,46.60445,"(cos(x0) + 113.85617) - (x0 * ((x0 * -0.31264883) - -11.881849))"
13,46.5603,"145.79715 - ((x0 * (22.922695 - (sqrt(x0) * 3.510514))) - cos(x0))"
14,46.36391,"121.521805 - ((x0 * (12.820479 - (x0 * 0.34073654))) + (cos(x0) * -1.7891879))"
16,46.363903,"121.521805 - (((x0 * (12.820479 - (x0 * 0.34073654))) + (cos(x0) * -1.7891879)) - x2)"
17,46.243767,"150.38599 - ((x0 + (cos(x0 + -0.3136537) * -0.21340686)) * (23.73501 - (sqrt(x0) * 3.640402)))"
19,46.220512,"151.79492 - ((22.673569 - (sqrt(x0) * 3.4363573)) * (((cos(0.35554183 - x0) * -0.21543379) + x0) + 0.5906449))"
21,46.088493,"((cos(x0 + (x0 * 0.83239275)) + cos(x0)) + 180.5858) - (x0 * (47.751553 - (sqrt(sqrt(x0)) * 18.344368)))"
23,46.077744,"(((cos(x0) - sin(x0 * 2.6146803)) - (((48.380554 - (sqrt(sqrt(x0)) * 18.591562)) * x0) + -10.294974)) + 172.2635) * 1.0489712"
24,45.965427,"((cos(x0) + (cos(x0) + 194.4025)) - (x0 * (51.89581 - (sqrt(sqrt(x0)) * 19.979609)))) + cos((x0 * 0.81490135) + x0)"
25,45.943974,"(((sin(cos(x0)) + cos(x0)) + 194.4025) - ((51.89581 - (sqrt(sqrt(x0)) * 19.979609)) * x0)) + cos((x0 * 0.81490135) + x0)"
27,45.940002,"((cos(x0) + sin(cos(x0))) + ((194.41539 - ((51.85699 - (sqrt(sqrt(x0)) * 19.960169)) * x0)) + cos((x0 * 0.81731623) + x0))) - x2"
28,45.666946,"(cos(x0) + 174.98541) + (cos(cos((x0 + -0.24648154) * (x0 * (x0 + 2.1208587))) + x0) - (x0 * (46.230328 - (sqrt(sqrt(x0)) * 17.759676))))"
30,45.438614,"cos(cos((x0 + -0.24643606) * (x0 * (x0 + 2.1208913))) + (x0 + -0.5630276)) + ((cos(x0) + 174.98541) - (x0 * (46.23043 - (sqrt(sqrt(x0)) * 17.759447))))"
