Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.100219294,"sqrt(x0 * 19.7638)"
6,0.05834884,"(sqrt(x0) + 0.09633953) * 4.272862"
8,6.12424e-5,"sqrt(((x0 * -0.43261522) + 23.051695) * x0)"
10,5.4230117e-5,"sqrt(x0 * ((x0 * -0.43594804) + 23.103092)) - 0.0069507374"
12,7.375296e-6,"sqrt(x0) * ((x0 * ((x0 * -0.00062855193) + -0.03967649)) + 4.787144)"
14,3.7766365e-6,"(sqrt(x0) * ((x0 * ((x0 * -0.0006913196) + -0.038514387)) + 4.780033)) + 0.006067148"
15,1.2159044e-6,"(sqrt(x0) * ((x0 * ((sqrt(x0) * -0.0046563195) + -0.029952789)) + 4.771307)) + 0.00880372"
18,5.2183026e-7,"(((((x0 * -0.00042814566) + -0.048189186) * x0) + 4.7510166) * sqrt(x0)) + ((x0 * 0.030729426) + 0.012015524)"
20,5.2115837e-7,"((((((x0 * -1.771045e-5) + -0.0020120398) * x0) + 0.19794992) * sqrt(x0)) + ((x0 * 0.0012922107) + 0.0005017576)) * x1"
23,5.211426e-7,"((sqrt(x0 * sin(x2)) * ((x1 - (((x0 * 0.0021373893) - -0.24430494) * x0)) * 6.2594686)) + 0.012082442) + (x0 * 0.031226309)"
26,5.0440735e-7,"(x0 * 0.03268726) + (((sqrt(x2 * x0) * (x1 - (x0 * ((x0 * ((x0 * 1.41119535e-5) - -0.0017840428)) - -0.24844216)))) * 6.2585845) + 0.012111183)"
29,5.0286116e-7,"((x0 * 0.032715797) + 0.012087268) + (sqrt(x2 * x0) * ((x1 - (x0 * (((((x0 * sqrt(x0)) * 2.8358138e-6) - -0.0018413677) * x0) - -0.24842447))) * 6.2585993))"
30,5.0286e-7,"((x0 * 0.032715797) + 0.012087268) + (sqrt(sin(x2) * x0) * ((x1 - (x0 * (((((x0 * sqrt(x0)) * 2.8358138e-6) - -0.0018413677) * x0) - -0.24842447))) * 6.2585993))"
