Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.12707 - x0"
5,51.02558,"sin(log(x0)) * 14.331956"
6,46.22322,"exp(exp(cos(x0 * -0.49132586)))"
8,46.181526,"exp(exp(cos(x0 * 0.49160475))) - -0.20471598"
10,45.768112,"log(exp(sin(x0 * -0.40347785) * 17.138084) + 8.641122)"
11,45.325382,"exp(exp(cos((sin(x0 * -2.1526678) - x0) * 0.49147546)))"
12,45.304737,"exp(exp(cos((sin(sin(x0 * -2.1507719)) - x0) * 0.49254966)))"
14,45.2919,"exp(exp(cos((sin(sin(x0 * -2.1525362)) - x0) * 0.49255064))) + 0.11769162"
17,44.977356,"log(exp(sin(sin(x0 * 1.5059664) + ((x0 * -0.48986417) + 1.3405907)) * 14.911782) + 8.701628)"
18,44.964397,"log(exp(sin(((x0 * -0.51029575) + 1.6593711) + sin(sin(x0 * 1.5068083))) * 14.780534) + 8.596926)"
20,44.96436,"log((exp(sin(sin(sin(x0 * 1.5067849)) + ((x0 * -0.5104917) + 1.6619288)) * 14.778195) + 10.197103) - 1.575956)"
22,44.961452,"log(exp(15.300776 * sin(((sin(sin(x0 * 0.81542546) + 0.8879783) * 2.744335) + (x0 * 0.45277745)) + 1.5838356)) + 8.737827)"
24,44.936966,"log((exp(sin((sin(sin(x0 * 0.8151593) + 0.89351046) * 2.8186023) + ((x0 * 0.43369782) + 1.8186588)) * 15.944298) + x0) * 0.4426422)"
26,44.928032,"log(exp(sin(((sin(sin(x0 * 0.81462556) + 0.8042302) * 2.5315804) + (x0 * 0.46730843)) + 1.635003) * 16.185398) + (x0 * 1.4204686)) + -1.1780282"
