Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.8024988"
4,0.10021928,"sqrt(x0 * 19.763647)"
6,0.05834884,"(sqrt(x0) - -0.09634526) * 4.272852"
7,0.02830498,"sqrt(x0 * (22.423223 - sqrt(x0)))"
8,6.124258e-5,"sqrt(x0 * ((x0 * -0.4326191) + 23.051744))"
9,1.7139007e-5,"sqrt((x0 * sqrt(30.289747 - x0)) * 4.1589913)"
11,9.45934e-6,"(sqrt(x0 * sqrt(30.429771 - x0)) * 2.0348077) + 0.0071771406"
13,7.820822e-6,"(sqrt(x0 * (sqrt(32.10516 - x0) + -0.34294522)) * 2.07221) + 0.006125937"
15,3.2754465e-6,"(sqrt(x0 * (x1 + ((sqrt(x0) - x0) * 0.573274))) + 0.019220617) * 0.96435225"
17,6.374062e-7,"(sqrt(x0 * (x1 + ((sqrt(x0 - -0.59891903) - x0) * 0.5708636))) * 0.96320504) + 0.011230788"
19,6.3725923e-7,"((sqrt(x0 * (x1 + ((sqrt(x0 - -0.6129106) - x0) * 0.5707992))) * 0.9631729) - x2) + 0.012125427"
26,5.9147015e-7,"sqrt((x1 + ((sqrt(x0 - -0.5562129) - x0) * 0.5710259)) * (x0 * 0.92798126)) - ((x2 * (cos(x0 - x1) * 0.40272266)) - 0.011350608)"
28,5.87826e-7,"sqrt(((x1 + ((sqrt(x0 - -0.59962994) - x0) * 0.57077783)) * x0) * 0.9277794) + (0.010048774 - ((x2 * (cos(x0 + 1.4782716) * 0.44114295)) - x2))"
30,5.87586e-7,"(sqrt(((x1 + ((sqrt(x0 - -0.5996331) - x0) * 0.5707968)) * x0) * 0.927757) + 0.010185975) - ((x2 * (cos(0.26743802 - (x0 + 1.4782717)) * 0.26743805)) - x2)"
