Complexity,Loss,Equation
1,54.316387,"3.035183"
3,52.234707,"22.127071 - x0"
6,51.292213,"(sin(x0) + 21.947561) - x0"
8,51.281536,"21.921364 - (x0 + sin(-6.1694646 - x0))"
9,50.888386,"((sin(x0) + sqrt(x0)) - -17.501884) - x0"
11,50.880646,"sin(x0 - x2) + ((sqrt(x0) - -17.589468) - x0)"
12,50.788445,"((13.057752 - sqrt(x1 + (-1.8662007 - x0))) + 10.635197) - x0"
13,50.013435,"sin(sqrt(x0 - 8.340597) - x0) + (x1 + (-2.148829 - x0))"
14,49.707664,"(sin(sqrt(x0 - 8.356793) - x0) + (sqrt(x0) - -17.493942)) - x0"
16,49.54964,"cos((sqrt(x1 - x0) + x0) - sqrt(x0)) + (x1 + (-2.1030338 - x0))"
18,49.419437,"x1 + (sin(sqrt(x0 - (23.860806 - x0)) - x0) + ((sqrt(x0) - 6.470885) - x0))"
20,49.24784,"cos((x0 + sqrt(x1 - x0)) - sqrt(x0)) + (((x1 + cos(sqrt(x0))) - 1.7772073) - x0)"
21,49.108498,"((cos((x0 + sqrt(x1 - x0)) - sqrt(x0)) + (x1 + cos(x1 + x0))) - 2.16357) - x0"
22,48.8834,"(cos((x0 + sqrt(x1 - x0)) - sqrt(x0)) + ((cos(sqrt(x1 - x0)) - -22.32944) - x0)) - x2"
25,48.586147,"cos(x0 + (sqrt(x1 - x0) - sqrt(x0))) + ((x1 + ((cos(sqrt(x1 - x0)) - 1.8519608) - x0)) + sin(x0))"
27,48.171352,"cos(sqrt(x0) - (x0 + sqrt(x1 - x0))) + (x1 + ((cos((x0 + sqrt(x1 - x0)) - sqrt(x0)) - 1.8519608) - x0))"
30,47.999176,"cos(sqrt(x0) - (x0 + sqrt(x1 - x0))) + (x1 + ((cos((x0 + sqrt(x1 - x0)) - sqrt(x0)) - sqrt(x1 - x0)) - x0))"
