Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127073 - x0"
5,49.36608,"sqrt(exp(18.190125 - x0))"
6,46.764244,"exp(exp(sin(x0 * -0.383306)))"
7,46.232433,"exp(exp(sin(sqrt(x0 * 15.508902))))"
8,46.183254,"exp(exp(sin((x0 * 0.5126063) + 1.2414062)))"
9,46.12582,"exp(exp(sin(sqrt(x0 * 15.539491)))) - -0.33086145"
11,46.09036,"exp(exp(cos(sqrt((x0 * 15.028314) + -37.073704))) - -0.065129966)"
12,45.48612,"exp(exp(sin(sqrt(x0 * 5.6274548) + cos(3.9365058 - x0))))"
14,45.38572,"exp(exp(sin(sqrt(x0 * 5.705022) + cos(x0 - 3.9661195)))) - -0.3378442"
16,45.2038,"exp(exp(cos(sqrt(exp(cos(sqrt(x0 * 12.005522)) * 2.040301) + 0.4222796) * 2.3309472)))"
18,45.053467,"exp(cos(exp((x2 * (exp((x1 - x0) + cos(x0)) * -0.13738613)) - -1.3337271)) - -1.650224)"
20,45.034916,"exp(cos(exp((exp((x1 - x0) + cos(x0)) * (x2 * -0.14396861)) - -1.3737711)) - -1.6825453) - 0.32633105"
22,44.90889,"exp(cos(exp((x2 * (exp((x1 - x0) + cos((x0 - -4.0788727) + x0)) * -0.12111215)) - -1.3295714)) - -1.6381348)"
24,44.85074,"exp(cos(exp(((x2 * -0.16501133) * exp((x1 - x0) + cos((x0 - -4.2893786) + x0))) - -1.4134033)) - -1.7038673) - 0.77458626"
26,44.85071,"(x2 + exp(cos(exp((x2 * (exp((x1 - x0) + cos((x0 - -4.290784) + x0)) * -0.16540906)) - -1.4139414)) - -1.7047846)) - 0.78394437"
28,44.850708,"exp(cos(exp(((x2 * -0.16581605) * exp((x1 - x0) + cos(x2 + ((0.85680616 - x0) - (x0 + x1))))) - -1.4142439)) - -1.7050112) - 0.78838706"
30,44.850224,"exp(cos(exp((exp(cos((1.0516632 - x0) - ((x0 * 1.0121564) + x1)) + (x1 - x0)) * (x2 * -0.16146828)) - -1.4076085)) - -1.7004027) - (0.71838945 - x2)"
