Complexity,Loss,Equation
1,54.316387,"3.035208"
3,52.234707,"22.127071 - x0"
4,51.55449,"exp(23.8387 / x0)"
5,48.32164,"x1 / (x0 + -10.7964735)"
6,46.54001,"exp(exp(sin(101.42713 / x0)))"
8,46.18326,"exp(exp(sin((x0 * -0.51250386) + 1.8982636)))"
9,45.537052,"exp(exp(sin(sin(-142.88805 / x0) * 1.908522)))"
11,45.34231,"exp(exp(sin(sin(-142.59277 / x0) * 1.9452565))) + 0.45043564"
13,45.079994,"exp(exp(sin(sin(exp(sin(-103.52875 / x0) * -1.7265197)) * -1.9377668)))"
15,44.98907,"exp(exp(sin(sin(exp(sin(-103.52875 / x0) * -1.7265197)) * -1.9377668))) + 0.3058367"
17,44.984573,"exp(exp(sin(sin(exp(x2 + (sin(-103.45624 / x0) * -1.7278022))) * -1.9714215))) + 0.3178685"
21,44.9118,"exp(exp(sin(exp(sin(-145.0638 / (x0 - sin(x0 + (x0 + -1.3328974)))) + 0.56852317) + -2.8456993))) - -0.6367802"
23,44.88561,"(exp(exp(sin(exp(sin(-146.50087 / (x0 - sin((x0 + x0) + -1.3140619))) + 0.54781175) + -2.9565346))) + 0.883776) / 1.1165462"
26,44.87889,"(exp(exp(sin(exp(sin((-1.1307814 / (x0 - sin(x0 + (x0 + -1.3953624)))) * 128.29967) + 0.5897326) + -2.996786))) + log(x0)) - 2.3568888"
28,44.877,"(exp(exp(sin(exp(sin((-1.1301712 / (x0 - sin(x0 + (x0 + -1.4032897)))) * 128.29967) + 0.5892008) + -2.9950655))) + (log(x0) - 2.3569229)) / 1.0086554"
30,44.8606,"((exp(exp(sin(exp(sin((-1.128427 / (x0 - sin(x0 + (x0 + -1.4886394)))) * 128.29953) + 0.558861) + -2.9578378))) + 0.47890466) + (log(x0) - 2.6745217)) / 1.0687331"
