Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
6,1.3254443,"x0 + (3.9551828 - cos(x0))"
7,0.48189893,"log(exp(x0) + -0.9901027) + 4.3738317"
8,0.09778923,"sqrt(exp(log(x0 + 0.011572349) - -2.9811769))"
10,0.060339965,"sqrt(exp(log(x0 + x2) - -2.9066353)) + 0.39987072"
12,0.057506297,"sin(sqrt(x0)) + sqrt(exp(log(x0 + 0.0015731286) - -2.8990223))"
14,0.007208135,"sqrt(exp(log(x0 + 0.06261807) - -3.0299187)) + (sin(sqrt(x0)) - 0.77363366)"
15,0.0020963266,"sqrt(exp(log(x0 + x2) + (cos(sqrt(sqrt(x0 - -14.816866))) - -3.5449471)))"
16,0.0001613638,"sqrt(exp(log(x0 + x2) + (cos(log(x0 - -16.960535) + -2.6184943) - -2.1491804)))"
18,4.016363e-5,"sqrt(exp((cos(log(x0 - -17.964584) + -2.6347313) + log(x0 + x2)) - -2.1622515) - 0.021611022)"
20,3.9516595e-5,"sqrt(exp((cos(log(x0 - -17.964584) + -2.6349695) + log(x0 + x2)) - -2.161937) - 0.021986743) + x2"
21,3.5592093e-5,"sqrt(cos(-1.2560034) + (exp((log(x0 + x2) - -2.1487708) + cos(log(x0 - -16.960548) + -2.6195667)) + -0.32852176))"
22,3.2879638e-5,"sqrt((exp((cos(log(x0 - -16.958258) + -2.6188076) + (log(x0 + x2) - -2.3081844)) + -0.15919717) + 0.008058401) - 0.027865447)"
26,3.1534033e-5,"sqrt((cos(log(x0 - -25.140764) + -1.637266) + exp(cos(log(x0 - -16.960573) + -2.6171043) + (log(x0 + x2) - -2.1516368))) - 0.0032385662)"
28,2.9363287e-5,"sqrt((cos(log(x0 - -25.140764) + -1.637266) + exp(cos(log(x0 - -16.960573) + -2.6171043) + (log(x0 + x2) - -2.1516368))) - 0.0032385662) + x2"
30,2.6961296e-5,"x2 + sqrt(cos(log(x0 - -25.140764) + -1.637266) + (exp((cos(log(x0 - -16.960573) + -2.6171043) + log(x0 + x2)) - -2.1516368) - (x2 + 0.0032385662)))"
