Complexity,Loss,Equation
1,54.316387,"3.0363462"
3,52.234707,"22.12707 - x0"
5,49.36608,"sqrt(exp(18.190298 - x0))"
6,48.10174,"exp(15.170893 - x0) + 2.344364"
7,46.427654,"exp(exp(cos(log(sqrt(exp(x0))))))"
9,45.753796,"exp(sin(x0) + (15.15963 - x0)) + 2.0658338"
11,45.738537,"exp(sin(x0 + -0.074898526) + (15.212059 - x0)) + 2.045297"
12,45.553413,"exp(sin(x0 - cos(x0)) + (15.677417 - x0)) + 2.056023"
13,45.506138,"exp(sin(sin(x0 - cos(x0))) + (15.695654 - x0)) + 2.0497377"
15,45.479427,"(exp((15.244122 - x0) + sin(x0)) + cos(exp(16.08166 - x0))) + 1.2130218"
16,45.220676,"exp(sin(x0 + ((-0.59991896 - sin(x0)) + x0)) + (15.582359 - x0)) + 2.0095897"
18,45.21274,"exp((15.5546 - x0) + sin(((x0 + x0) + sin(x0 - 3.236969)) - 0.63190234)) + 2.0138652"
22,45.153225,"(1.0885978 - sin(sqrt(x0))) + exp(sin(x0 + (sin(x0 - 3.258937) + (x0 - 0.6508535))) + (15.593541 - x0))"
24,45.094856,"(1.8277884 - sin(sqrt(x0) - 1.111261)) + exp((sin((x0 + (sin(x0 - 3.260962) + x0)) - 0.67301667) + 15.634797) - x0)"
25,45.094852,"(1.8277884 - sin(sqrt(x0) - 1.111261)) + exp((sin((x0 + sin(x0 - 3.260962)) + (x0 - exp(-0.39454672))) + 15.634797) - x0)"
26,45.053997,"(1.4674009 - sin(log(sqrt(exp(x0))) - -0.82506466)) + exp((sin(((sin(x0 - 3.254943) + x0) + x0) - 0.7411444) + 15.738911) - x0)"
27,45.04648,"exp((sin(sin(x0 - 15.796792) + ((x0 - 0.7180576) + x0)) + 15.72157) - x0) + (1.5335373 - sin(sin(log(sqrt(exp(x0))) - -0.7897312)))"
29,45.041946,"(exp((sin((sin(x0 - 3.238896) + (x0 - 0.72127426)) + x0) + 15.70699) - x0) + 1.2813848) - sin(sin(log(sqrt(exp(x0))) - -0.6782709) - 0.45299682)"
